qid,run_id,ternary_score,binary_score,n_criteria,n_mandatory_fail,response_length
683a58c9a7e7fe4e7695846f,aus-agent-creative-check,0.201613,0.129032,20,0,1012.0
683a58c9a7e7fe4e7695846f,aus-agent-dev-full,0.225806,0.193548,20,0,962.0
683a58c9a7e7fe4e76958488,aus-agent-creative-check,0.707143,0.657143,20,0,951.0
rag2026-3,aus-agent-test-v2,0.409091,0.378788,20,0,987.0
rag2026-2,aus-agent-test-full,0.363636,0.212121,20,0,972.0
rag2026-0,aus-agent-test-v2,0.413333,0.426667,20,0,915.0
rag2026-0,aus-agent-test-full,0.406667,0.346667,20,0,1017.0
683a58c9a7e7fe4e7695846f,aus-agent-sat-go,0.137097,-0.032258,20,0,977.0
683a58c9a7e7fe4e7695848b,aus-agent-dev-full,0.214286,0.122449,20,0,968.0
683a58c9a7e7fe4e7695848b,aus-agent-creative-check,0.489796,0.387755,20,0,1006.0
rag2026-1,aus-agent-test-v2,0.277778,0.15873,20,0,986.0
rag2026-2,aus-agent-test-v2,0.386364,0.333333,20,0,979.0
683a58c9a7e7fe4e76958488,aus-agent-dev-full,0.828571,0.757143,20,0,940.0
rag2026-3,aus-agent-test-full,0.333333,0.272727,20,0,1015.0
rag2026-1,aus-agent-test-full,0.555556,0.428571,20,0,954.0
683a58c9a7e7fe4e76958488,aus-agent-sat-go,0.514286,0.4,20,0,653.0
683a58c9a7e7fe4e7695848b,aus-agent-sat-go,0.336735,0.122449,20,0,986.0
