qid,run_id,ternary_score,binary_score,n_criteria,n_mandatory_fail,response_length
683a58c9a7e7fe4e76958488,aus-agent-dev-full,0.688525,0.57377,17,4,940.0
683a58c9a7e7fe4e7695846f,aus-agent-dev-full,0.557692,0.525641,18,7,962.0
683a58c9a7e7fe4e7695848b,aus-agent-dev-full,0.689474,0.663158,22,6,968.0
rag2026-2,aus-agent-test-full,0.689474,0.610526,22,7,972.0
rag2026-0,aus-agent-test-full,0.718391,0.574713,21,7,1017.0
rag2026-1,aus-agent-test-full,0.654255,0.62766,23,7,954.0
rag2026-3,aus-agent-test-full,0.515504,0.410853,30,14,1015.0
684397d188c1deceb49af31d,aus-agent-dev-full,0.680328,0.557377,14,5,905.0
683a58c9a7e7fe4e76958498,aus-agent-dev-full,0.5,0.5,32,10,1007.0
rag2026-4,aus-agent-test-full,0.752294,0.66055,26,7,1006.0
684397d188c1deceb49af325,aus-agent-dev-full,0.881356,0.881356,16,1,936.0
684397d188c1deceb49af32d,aus-agent-dev-full,0.662281,0.622807,27,7,1018.0
6847465956a0f6376a60535d,aus-agent-dev-full,0.479167,0.375,21,12,933.0
rag2026-8,aus-agent-test-full,0.674699,0.674699,19,5,1021.0
rag2026-5,aus-agent-test-full,0.420863,0.366906,32,16,880.0
rag2026-7,aus-agent-test-full,0.678571,0.65873,30,7,960.0
rag2026-6,aus-agent-test-full,0.261905,0.210884,33,22,948.0
6847465956a0f6376a605360,aus-agent-dev-full,0.318898,0.275591,32,16,993.0
6847465956a0f6376a605367,aus-agent-dev-full,0.53,0.46,23,10,991.0
rag2026-9,aus-agent-test-full,0.657258,0.629032,29,8,1014.0
rag2026-10,aus-agent-test-full,0.597561,0.536585,27,11,1021.0
6847465956a0f6376a605387,aus-agent-dev-full,0.895833,0.895833,21,2,1005.0
rag2026-11,aus-agent-test-full,0.327731,0.285714,28,15,999.0
rag2026-12,aus-agent-test-full,0.324219,0.304688,28,17,956.0
6847465956a0f6376a605391,aus-agent-dev-full,0.476351,0.459459,32,16,980.0
6847465956a0f6376a6053a0,aus-agent-dev-full,0.467213,0.377049,28,14,945.0
rag2026-14,aus-agent-test-full,0.534722,0.430556,18,7,1023.0
rag2026-13,aus-agent-test-full,0.606383,0.542553,23,7,1021.0
6847465956a0f6376a6053fb,aus-agent-dev-full,0.584615,0.507692,16,6,964.0
6847465956a0f6376a6053c9,aus-agent-dev-full,0.175676,0.144144,27,17,1006.0
6847465956a0f6376a6053ca,aus-agent-dev-full,0.505155,0.484536,26,6,1013.0
rag2026-15,aus-agent-test-full,0.977011,0.977011,21,0,985.0
6847465956a0f6376a605404,aus-agent-dev-full,0.75,0.75,17,2,922.0
rag2026-17,aus-agent-test-full,0.439655,0.396552,25,14,962.0
rag2026-19,aus-agent-test-full,0.341772,0.329114,20,9,994.0
6847465956a0f6376a60542a,aus-agent-dev-full,0.474747,0.424242,27,9,1014.0
rag2026-18,aus-agent-test-full,0.719298,0.657895,30,5,1015.0
rag2026-20,aus-agent-test-full,0.659091,0.545455,15,6,1004.0
6847465956a0f6376a60542d,aus-agent-dev-full,0.668421,0.631579,25,5,989.0
6847465956a0f6376a605433,aus-agent-dev-full,0.817073,0.731707,23,2,914.0
6847465956a0f6376a605440,aus-agent-dev-full,0.583333,0.537037,15,3,958.0
rag2026-23,aus-agent-test-full,0.820896,0.820896,17,2,1009.0
6847465956a0f6376a605476,aus-agent-dev-full,0.197183,0.126761,19,10,932.0
rag2026-22,aus-agent-test-full,0.430894,0.308943,30,15,961.0
