qid,run_id,ternary_score,binary_score,n_criteria,n_mandatory_fail,response_length
683a58c9a7e7fe4e76958488,aus-agent-dev-full,0.57377,0.377049,17,6,940.0
683a58c9a7e7fe4e7695846f,aus-agent-dev-full,0.371795,0.217949,18,11,962.0
rag2026-0,aus-agent-test-full,0.637931,0.413793,21,9,1017.0
rag2026-1,aus-agent-test-full,0.515957,0.37234,23,11,954.0
683a58c9a7e7fe4e7695848b,aus-agent-dev-full,0.478947,0.157895,22,14,968.0
683a58c9a7e7fe4e76958498,aus-agent-dev-full,0.616935,0.532258,32,8,1007.0
684397d188c1deceb49af31d,aus-agent-dev-full,0.696721,0.639344,14,4,905.0
684397d188c1deceb49af325,aus-agent-dev-full,0.779661,0.762712,16,2,936.0
rag2026-4,aus-agent-test-full,0.756881,0.59633,26,8,1006.0
rag2026-2,aus-agent-test-full,0.510526,0.2,22,14,972.0
rag2026-3,aus-agent-test-full,0.496124,0.372093,30,15,1015.0
rag2026-5,aus-agent-test-full,0.5,0.258993,32,19,880.0
rag2026-6,aus-agent-test-full,0.248299,0.115646,33,24,948.0
684397d188c1deceb49af32d,aus-agent-dev-full,0.745614,0.605263,27,7,1018.0
rag2026-7,aus-agent-test-full,0.539683,0.380952,30,14,960.0
6847465956a0f6376a605360,aus-agent-dev-full,0.228346,0.165354,32,18,993.0
rag2026-8,aus-agent-test-full,0.63253,0.53012,19,7,1021.0
6847465956a0f6376a605367,aus-agent-dev-full,0.545,0.29,23,13,991.0
rag2026-10,aus-agent-test-full,0.53252,0.325203,27,15,1021.0
rag2026-9,aus-agent-test-full,0.548387,0.346774,29,15,1014.0
6847465956a0f6376a605387,aus-agent-dev-full,0.677083,0.510417,21,9,1005.0
6847465956a0f6376a60535d,aus-agent-dev-full,0.401042,0.166667,21,16,933.0
rag2026-12,aus-agent-test-full,0.199219,0.054688,28,23,956.0
6847465956a0f6376a6053c9,aus-agent-dev-full,0.256757,0.108108,27,17,1006.0
rag2026-14,aus-agent-test-full,0.395833,0.125,18,11,1023.0
6847465956a0f6376a6053a0,aus-agent-dev-full,0.495902,0.311475,28,16,945.0
6847465956a0f6376a6053fb,aus-agent-dev-full,0.515385,0.215385,16,9,964.0
6847465956a0f6376a6053ca,aus-agent-dev-full,0.639175,0.57732,26,5,1013.0
6847465956a0f6376a605391,aus-agent-dev-full,0.337838,0.148649,32,24,980.0
rag2026-15,aus-agent-test-full,0.87931,0.781609,21,3,985.0
rag2026-11,aus-agent-test-full,0.319328,0.226891,28,16,999.0
6847465956a0f6376a605404,aus-agent-dev-full,0.703125,0.46875,17,6,922.0
rag2026-19,aus-agent-test-full,0.341772,0.177215,20,11,994.0
rag2026-17,aus-agent-test-full,0.258621,0.163793,25,19,962.0
6847465956a0f6376a60542d,aus-agent-dev-full,0.536842,0.347368,25,10,989.0
rag2026-13,aus-agent-test-full,0.579787,0.361702,23,10,1021.0
rag2026-16,aus-agent-test-full,0.401786,0.169643,32,15,988.0
6847465956a0f6376a60542a,aus-agent-dev-full,0.469697,0.222222,27,13,1014.0
rag2026-18,aus-agent-test-full,0.561404,0.315789,30,12,1015.0
6847465956a0f6376a605433,aus-agent-dev-full,0.768293,0.609756,23,4,914.0
rag2026-20,aus-agent-test-full,0.651515,0.409091,15,7,1004.0
6847465956a0f6376a605440,aus-agent-dev-full,0.555556,0.351852,15,5,958.0
rag2026-21,aus-agent-test-full,0.5,0.418182,31,8,1001.0
rag2026-24,aus-agent-test-full,0.630137,0.424658,17,8,947.0
rag2026-23,aus-agent-test-full,0.671642,0.522388,17,6,1009.0
6847465956a0f6376a605476,aus-agent-dev-full,0.183099,0.098592,19,10,932.0
6847465956a0f6376a60543d,aus-agent-dev-full,0.120253,0.050633,23,11,912.0
6847465956a0f6376a60547f,aus-agent-dev-full,0.866667,0.85,15,1,1018.0
6847465956a0f6376a605492,aus-agent-dev-full,0.412371,0.226804,23,13,988.0
rag2026-26,aus-agent-test-full,0.645,0.39,23,11,986.0
rag2026-27,aus-agent-test-full,0.403361,0.218487,28,17,953.0
rag2026-22,aus-agent-test-full,0.471545,0.308943,30,15,961.0
rag2026-28,aus-agent-test-full,0.458333,0.340278,33,17,913.0
6847465956a0f6376a6054a7,aus-agent-dev-full,0.538462,0.182692,25,15,928.0
rag2026-29,aus-agent-test-full,0.564394,0.371212,30,15,980.0
6847465956a0f6376a6054ad,aus-agent-dev-full,0.642857,0.544643,26,9,848.0
6847465956a0f6376a605493,aus-agent-dev-full,0.362069,0.344828,34,10,933.0
rag2026-30,aus-agent-test-full,0.54,0.376,28,14,1007.0
rag2026-31,aus-agent-test-full,0.761538,0.523077,16,5,865.0
rag2026-32,aus-agent-test-full,0.762963,0.681481,33,7,954.0
rag2026-33,aus-agent-test-full,0.601852,0.453704,24,11,933.0
6847465956a0f6376a60547e,aus-agent-dev-full,0.467391,0.282609,22,12,967.0
rag2026-25,aus-agent-test-full,0.777778,0.619048,15,4,844.0
rag2026-34,aus-agent-test-full,0.592308,0.446154,19,4,1020.0
6847465956a0f6376a6054be,aus-agent-dev-full,0.291339,0.031496,29,23,974.0
rag2026-37,aus-agent-test-full,0.556701,0.329897,23,11,943.0
rag2026-35,aus-agent-test-full,0.378906,0.226562,28,19,991.0
rag2026-36,aus-agent-test-full,0.241176,0.0,23,13,1012.0
rag2026-39,aus-agent-test-full,0.607955,0.443182,23,7,985.0
rag2026-42,aus-agent-test-full,0.533898,0.186441,16,8,978.0
rag2026-38,aus-agent-test-full,0.515267,0.374046,28,16,1015.0
rag2026-40,aus-agent-test-full,0.681319,0.549451,23,7,969.0
rag2026-43,aus-agent-test-full,0.490654,0.383178,28,10,983.0
rag2026-44,aus-agent-test-full,0.491379,0.25,28,15,1007.0
rag2026-46,aus-agent-test-full,0.625,0.458333,18,7,974.0
rag2026-41,aus-agent-test-full,0.58,0.31,23,13,891.0
rag2026-0,aus-agent-test-v2,0.62069,0.436782,21,9,915.0
rag2026-45,aus-agent-test-full,0.598425,0.503937,29,11,1006.0
rag2026-1,aus-agent-test-v2,0.5,0.382979,23,10,986.0
rag2026-8,aus-agent-test-v2,0.421687,0.289157,19,11,1003.0
rag2026-3,aus-agent-test-v2,0.44186,0.317829,30,16,987.0
rag2026-2,aus-agent-test-v2,0.536842,0.252632,22,13,979.0
rag2026-4,aus-agent-test-v2,0.559633,0.376147,26,12,892.0
rag2026-7,aus-agent-test-v2,0.468254,0.380952,30,14,982.0
rag2026-6,aus-agent-test-v2,0.289116,0.095238,33,25,985.0
rag2026-11,aus-agent-test-v2,0.441176,0.268908,28,15,926.0
rag2026-9,aus-agent-test-v2,0.528226,0.306452,29,16,834.0
rag2026-13,aus-agent-test-v2,0.484043,0.223404,23,13,979.0
rag2026-12,aus-agent-test-v2,0.324219,0.070312,28,23,1005.0
rag2026-10,aus-agent-test-v2,0.682927,0.463415,27,12,1003.0
rag2026-14,aus-agent-test-v2,0.506944,0.222222,18,10,1004.0
rag2026-5,aus-agent-test-v2,0.615108,0.402878,32,15,994.0
rag2026-15,aus-agent-test-v2,0.683908,0.586207,21,6,981.0
rag2026-19,aus-agent-test-v2,0.329114,0.177215,20,11,1021.0
rag2026-20,aus-agent-test-v2,0.742424,0.560606,15,5,916.0
rag2026-18,aus-agent-test-v2,0.364035,0.087719,30,16,994.0
rag2026-16,aus-agent-test-v2,0.316964,0.178571,32,14,982.0
rag2026-17,aus-agent-test-v2,0.357759,0.206897,25,18,926.0
rag2026-23,aus-agent-test-v2,0.731343,0.716418,17,3,997.0
rag2026-21,aus-agent-test-v2,0.504545,0.418182,31,8,1000.0
rag2026-24,aus-agent-test-v2,0.643836,0.424658,17,8,1015.0
rag2026-22,aus-agent-test-v2,0.54065,0.390244,30,13,868.0
rag2026-25,aus-agent-test-v2,0.904762,0.809524,15,2,925.0
rag2026-26,aus-agent-test-v2,0.635,0.39,23,11,962.0
rag2026-27,aus-agent-test-v2,0.298319,0.134454,28,19,938.0
rag2026-29,aus-agent-test-v2,0.488636,0.348485,30,16,832.0
rag2026-31,aus-agent-test-v2,0.453846,0.092308,16,11,952.0
rag2026-30,aus-agent-test-v2,0.48,0.336,28,15,983.0
rag2026-34,aus-agent-test-v2,0.592308,0.446154,19,4,927.0
rag2026-28,aus-agent-test-v2,0.434028,0.222222,33,20,1015.0
rag2026-32,aus-agent-test-v2,0.692593,0.577778,33,9,998.0
rag2026-33,aus-agent-test-v2,0.574074,0.425926,24,12,988.0
rag2026-37,aus-agent-test-v2,0.561856,0.298969,23,12,893.0
rag2026-36,aus-agent-test-v2,0.258824,0.058824,23,12,916.0
rag2026-39,aus-agent-test-v2,0.630682,0.465909,23,7,994.0
rag2026-42,aus-agent-test-v2,0.559322,0.355932,16,6,1015.0
rag2026-35,aus-agent-test-v2,0.390625,0.265625,28,18,1022.0
rag2026-38,aus-agent-test-v2,0.572519,0.450382,28,14,936.0
rag2026-40,aus-agent-test-v2,0.620879,0.472527,23,8,997.0
rag2026-41,aus-agent-test-v2,0.405,0.26,23,14,922.0
rag2026-43,aus-agent-test-v2,0.471963,0.364486,28,10,1008.0
rag2026-44,aus-agent-test-v2,0.521552,0.310345,28,14,914.0
rag2026-50,aus-agent-test-v2,0.482456,0.245614,15,7,902.0
rag2026-46,aus-agent-test-v2,0.805556,0.736111,18,3,950.0
rag2026-47,aus-agent-test-v2,0.646067,0.483146,22,8,997.0
rag2026-48,aus-agent-test-v2,0.784722,0.736111,18,3,888.0
rag2026-45,aus-agent-test-v2,0.65748,0.464567,29,12,948.0
rag2026-57,aus-agent-test-v2,0.6625,0.475,19,8,948.0
rag2026-56,aus-agent-test-v2,0.635294,0.388235,20,10,956.0
rag2026-53,aus-agent-test-v2,0.431579,0.2,22,14,1015.0
rag2026-51,aus-agent-test-v2,0.686667,0.573333,18,6,922.0
rag2026-52,aus-agent-test-v2,0.343434,0.111111,27,14,959.0
rag2026-61,aus-agent-test-v2,0.418605,0.255814,22,10,1018.0
rag2026-59,aus-agent-test-v2,0.481132,0.311321,26,13,842.0
rag2026-60,aus-agent-test-v2,0.55914,0.365591,24,9,873.0
rag2026-49,aus-agent-test-v2,0.522321,0.258929,29,13,892.0
rag2026-58,aus-agent-test-v2,0.831683,0.782178,25,2,956.0
rag2026-62,aus-agent-test-v2,0.833333,0.733333,18,2,941.0
rag2026-67,aus-agent-test-v2,0.736111,0.569444,18,5,1023.0
rag2026-64,aus-agent-test-v2,0.565934,0.351648,20,11,966.0
rag2026-65,aus-agent-test-v2,0.635714,0.514286,17,6,870.0
rag2026-54,aus-agent-test-v2,0.43299,0.298969,23,12,1006.0
rag2026-63,aus-agent-test-v2,0.625,0.564815,30,5,957.0
rag2026-68,aus-agent-test-v2,0.777778,0.641975,21,5,988.0
rag2026-66,aus-agent-test-v2,0.452128,0.287234,23,11,962.0
rag2026-55,aus-agent-test-v2,0.527559,0.385827,32,14,899.0
rag2026-71,aus-agent-test-v2,0.4875,0.225,27,17,1016.0
683a58c9a7e7fe4e7695848b,aus-agent-creative-check,0.642105,0.305263,22,12,1006.0
rag2026-69,aus-agent-test-v2,0.417293,0.308271,32,16,1023.0
rag2026-72,aus-agent-test-v2,0.262097,0.177419,32,16,1005.0
683a58c9a7e7fe4e7695846f,aus-agent-creative-check,0.371795,0.217949,18,11,1012.0
683a58c9a7e7fe4e76958488,aus-agent-creative-check,0.737705,0.622951,17,3,951.0
684397d188c1deceb49af32d,aus-agent-creative-check,0.587719,0.403509,27,12,874.0
rag2026-70,aus-agent-test-v2,0.74,0.69,23,5,912.0
684397d188c1deceb49af325,aus-agent-creative-check,0.847458,0.728814,16,2,948.0
683a58c9a7e7fe4e76958498,aus-agent-creative-check,0.435484,0.346774,32,13,1007.0
rag2026-73,aus-agent-test-v2,0.717054,0.589147,30,9,994.0
rag2026-74,aus-agent-test-v2,0.038462,0.0,18,14,998.0
684397d188c1deceb49af31d,aus-agent-creative-check,0.655738,0.557377,14,5,977.0
6847465956a0f6376a605367,aus-agent-creative-check,0.585,0.34,23,12,976.0
6847465956a0f6376a60535d,aus-agent-creative-check,0.494792,0.197917,21,15,924.0
rag2026-75,aus-agent-test-v2,0.517442,0.255814,22,10,969.0
6847465956a0f6376a605360,aus-agent-creative-check,0.267717,0.149606,32,18,893.0
rag2026-78,aus-agent-test-v2,0.510345,0.289655,32,19,945.0
rag2026-77,aus-agent-test-v2,0.553435,0.358779,31,14,946.0
rag2026-76,aus-agent-test-v2,0.831579,0.715789,22,5,1000.0
rag2026-79,aus-agent-test-v2,0.470588,0.270588,23,10,830.0
rag2026-72,test-ase-api-server-run,0.0,0.0,32,20,62.0
rag2026-72,aus-agent-math-check,0.245968,0.16129,32,16,1006.0
rag2026-72,aus-agent-discovery-check,0.310484,0.233871,32,15,966.0
rag2026-72,test-ase-api-server-run-1,0.290323,0.233871,32,15,942.0
rag2026-72,aus-agent-opus-check,0.41129,0.298387,32,13,969.0
rag2026-72,aus-agent-terra-check,0.209677,0.137097,32,17,799.0
rag2026-72,aus-agent-recon-check,0.314516,0.258065,32,14,976.0
rag2026-72,aus-agent-azure-terra,0.274194,0.177419,32,16,642.0
rag2026-72,aus-agent-qterm-check,0.330645,0.274194,32,14,948.0
rag2026-72,aus-agent-azure-sol,0.306452,0.193548,32,16,815.0
rag2026-22,aus-agent-azure-sol,0.560976,0.349593,30,14,864.0
rag2026-22,aus-agent-azure-terra,0.47561,0.333333,30,14,719.0
rag2026-72,aus-agent-azure-luna,0.403226,0.258065,32,14,861.0
6847465956a0f6376a6053fb,aus-agent-luna-dev,0.461538,0.215385,16,9,823.0
683a58c9a7e7fe4e76958498,aus-agent-luna-dev,0.431452,0.241935,32,16,867.0
6847465956a0f6376a605391,aus-agent-luna-dev,0.489865,0.22973,32,22,972.0
6847465956a0f6376a605367,aus-agent-luna-dev,0.565,0.32,23,12,936.0
6847465956a0f6376a6053fb,aus-agent-luna-dev2,0.546154,0.246154,16,9,913.0
683a58c9a7e7fe4e76958498,aus-agent-luna-dev2,0.435484,0.225806,32,16,1011.0
6847465956a0f6376a605493,aus-agent-luna-dev,0.452586,0.344828,34,10,984.0
rag2026-22,aus-agent-azure-luna,0.53252,0.292683,30,15,927.0
6847465956a0f6376a6053fb,aus-agent-luna-dev3,0.492308,0.138462,16,10,898.0
6847465956a0f6376a6053fb,aus-agent-luna-dev4,0.553846,0.292308,16,8,953.0
6847465956a0f6376a6054a7,aus-agent-luna-dev3,0.408654,0.086538,25,17,889.0
6847465956a0f6376a605404,aus-agent-luna-dev4,0.609375,0.359375,17,7,885.0
6847465956a0f6376a6054a7,aus-agent-luna-dev2,0.451923,0.086538,25,17,738.0
6847465956a0f6376a6054a7,aus-agent-luna-dev4,0.423077,0.134615,25,16,564.0
6847465956a0f6376a605367,aus-agent-luna-dev4,0.57,0.34,23,12,891.0
683a58c9a7e7fe4e76958498,aus-agent-luna-dev3,0.387097,0.25,32,15,918.0
683a58c9a7e7fe4e76958498,aus-agent-luna-dev4,0.532258,0.322581,32,14,1013.0
683a58c9a7e7fe4e76958488,aus-agent-sat-go,0.557377,0.377049,17,6,653.0
683a58c9a7e7fe4e7695848b,aus-agent-sat-go,0.615789,0.431579,22,10,986.0
683a58c9a7e7fe4e7695846f,aus-agent-sat-go,0.352564,0.24359,18,11,977.0
684397d188c1deceb49af325,aus-agent-sat-go,0.720339,0.559322,16,4,924.0
684397d188c1deceb49af31d,aus-agent-sat-go,0.778689,0.721311,14,3,958.0
6847465956a0f6376a605493,aus-agent-luna-dev4,0.426724,0.327586,34,10,951.0
6847465956a0f6376a605493,aus-agent-luna-cap10,0.448276,0.327586,34,10,841.0
6847465956a0f6376a60535d,aus-agent-sat-go,0.640625,0.458333,21,10,837.0
683a58c9a7e7fe4e76958498,aus-agent-sat-go,0.379032,0.209677,32,16,874.0
684397d188c1deceb49af32d,aus-agent-sat-go,0.666667,0.570175,27,9,910.0
6847465956a0f6376a605360,aus-agent-sat-go,0.192913,0.110236,32,19,965.0
