rag2026-0	I’m on a hospital nursing DEI council that has to recommend a three-year plan with limited money. Our chief nursing officer wants something that helps recruitment and retention, not just a one-time training. What should we prioritize across nursing school pipeline partnerships, hiring and promotion practices, reporting systems for racism, leadership accountability, and curriculum/continuing education? How should we think about tradeoffs, what outcomes should we measure, and what mistakes would make the plan feel performative to nurses of color?
rag2026-1	My mother is 72 and my father died suddenly six weeks ago. She keeps saying grief is just emotional, but she has had chest tightness, poor sleep, little appetite, and she has skipped some blood pressure pills. Our family wants to support her without medicalizing normal mourning. Can you help me understand what grief can do biologically to the body, especially the heart, immune system, stress hormones, and inflammation? What warning signs or time periods should we take seriously, what kinds of checkups or supports might be reasonable, and what should we avoid assuming?
rag2026-2	I’m on the board of a statewide nonprofit that is being asked to endorse a ballot campaign saying health care should be treated as a right, not a privilege. Before we take a position, can you help me understand what that claim would actually imply in U.S. policy terms? How should we weigh universal coverage, affordability, medical debt, Medicaid expansion, employer-based insurance, emergency-room safety nets, single-payer proposals, taxes, patient choice, and implementation risks? I need something I can use to brief board members who care about both equity and fiscal practicality.
rag2026-3	I am an 18 year old that currently has ten thousand dollars. Write an investment plan to guide me through investing for the future. Specifically, the timespan of this investment plan should be considered to be the rest of my life. Furthermore, this investment plan should be researched with academic and/or authoritative sources. Essentially, I want to understand how a savvy investor would invest, given that they are starting with ten thousand dollars at the age of 18.
rag2026-4	I'm 31 and I've been weirdly stuck scrolling old college photos and playlists lately. Part of it feels comforting, but part of it is because a lot of friends are buying houses, having kids, or moving up at work, and I feel like I missed some invisible schedule. Can you help me understand what nostalgia is doing psychologically here, and how it connects to this social clock feeling? When is looking back actually useful, and when is it just making me compare myself to a fake version of the past or other people’s timelines? I’m trying to make some practical choices about dating, career, and whether to move cities, so I’d like advice I can actually use.
rag2026-5	I run a small US online shop selling low-cost accessories and home items, and a few suppliers keep pitching me on shipping straight from China to each customer so we can use the $800 de minimis/Section 321 rule like Temu and Shein. With all the talk about tariffs and customs crackdowns, is that actually a smart move for a small brand? What should I understand about the cost advantage, delivery and air freight issues, forced-labor/compliance risk, and alternatives like holding inventory in the US, Mexico, or Canada before I change our supply chain?
rag2026-6	Conduct a comprehensive historical analysis of how the world has changed since the onset of the COVID-19 pandemic. Compare and contrast life before COVID and after it, covering key domains such as public health, work culture, education, travel, economy, mental health, social interactions, and technology adoption. Provide deep, well-researched insights and include real-world examples to support your points. Structure the analysis in chronological order (from the pre-pandemic era, through the initial outbreak in early 2020, the global response, vaccine rollouts, to the 2025 post-pandemic lifestyle) to enhance clarity and understanding. Aim for thoroughness and detail to ensure all major global shifts and trends are captured.
rag2026-7	I’m on the investment committee for a small public pension plan, and a manager is pitching us on an AI political signals strategy: scraping congressional trades, lobbying disclosures, proposed bills, geopolitical headlines, and social media, then letting algorithms trade quickly around the expected market impact. Can you help me understand whether this is a serious edge or a governance headache? What should we ask about legality, ethics, data quality, model risk, market impact, and regulation before we even consider allocating money?
rag2026-8	I’m helping a county civic group prepare a public forum before the next election. A lot of residents still bring up 2020 fraud claims—dead voters, Dominion machines, poll watchers being blocked, mail ballots and drop boxes, and the Arizona audit—and others worry that new election integrity laws make voting harder. How should we explain what was actually supported by evidence, what was debunked or exaggerated, and what safeguards or reforms are most likely to build trust without confusing voters or discouraging participation?
rag2026-9	Our city utility board is getting pitched on a long-term nuclear power purchase agreement and maybe an SMR option later, but a couple board members are worried that uranium is the next gas crisis because of Russia, China, Kazakhstan, and all the recent price spikes. Can you help me understand what the real fuel-supply risks are? How should we think about uranium mining versus conversion/enrichment/fabrication bottlenecks, Russian exposure, HALEU for advanced reactors, price risk, and whether long-term contracting actually protects a utility? I need something practical enough to brief nontechnical board members before we decide whether nuclear supply risk is a deal-breaker or just a manageable procurement issue.
