run_id,n_topics,ternary_score,binary_score
aus-agent-azure-luna,2,0.0,0.0
aus-agent-azure-sol,2,0.0,0.0
aus-agent-azure-terra,2,0.0,0.0
aus-agent-creative-check,10,0.0,0.0
aus-agent-dev-full,30,0.0,0.0
aus-agent-discovery-check,1,0.0,0.0
aus-agent-luna-cap10,1,0.0,0.0
aus-agent-luna-dev,5,0.0,0.0
aus-agent-luna-dev2,3,0.0,0.0
aus-agent-luna-dev3,3,0.0,0.0
aus-agent-luna-dev4,6,0.0,0.0
aus-agent-math-check,1,0.0,0.0
aus-agent-opus-check,1,0.0,0.0
aus-agent-qterm-check,1,0.0,0.0
aus-agent-recon-check,1,0.0,0.0
aus-agent-sat-go,30,0.0,0.0
aus-agent-terra-check,1,0.0,0.0
aus-agent-test-full,47,0.0,0.0
aus-agent-test-v2,80,0.0,0.0
test-ase-api-server-run,1,0.0,0.0
test-ase-api-server-run-1,1,0.0,0.0
