run_id,n_topics,ternary_score,binary_score
aus-agent-azure-luna,2,0.467873,0.275374
aus-agent-azure-sol,2,0.433714,0.271571
aus-agent-azure-terra,2,0.374902,0.255376
aus-agent-creative-check,10,0.562551,0.387016
aus-agent-dev-full,30,0.509266,0.346603
aus-agent-discovery-check,1,0.310484,0.233871
aus-agent-luna-cap10,1,0.448276,0.327586
aus-agent-luna-dev,5,0.480088,0.270375
aus-agent-luna-dev2,3,0.477854,0.186166
aus-agent-luna-dev3,3,0.429353,0.158333
aus-agent-luna-dev4,6,0.519213,0.296077
aus-agent-math-check,1,0.245968,0.16129
aus-agent-opus-check,1,0.41129,0.298387
aus-agent-qterm-check,1,0.330645,0.274194
aus-agent-recon-check,1,0.314516,0.258065
aus-agent-sat-go,30,0.522933,0.371879
aus-agent-terra-check,1,0.209677,0.137097
aus-agent-test-full,47,0.535935,0.357581
aus-agent-test-v2,80,0.540788,0.374212
test-ase-api-server-run,1,0.0,0.0
test-ase-api-server-run-1,1,0.290323,0.233871
