qid,run_id,ternary_score,binary_score,n_criteria,n_mandatory_fail,response_length
683a58c9a7e7fe4e7695846f,aus-agent-dev-full,1.0,1.0,18,0,1049.0
683a58c9a7e7fe4e76958488,aus-agent-dev-full,0.901639,0.868852,17,0,1003.0
rag2026-1,aus-agent-test-full,1.0,1.0,23,0,1025.0
rag2026-2,aus-agent-test-full,1.0,1.0,22,0,1034.0
683a58c9a7e7fe4e7695848b,aus-agent-dev-full,0.831579,0.768421,22,4,1027.0
rag2026-0,aus-agent-test-full,1.0,1.0,21,0,1100.0
684397d188c1deceb49af31d,aus-agent-dev-full,1.0,1.0,14,0,961.0
rag2026-3,aus-agent-test-full,0.864341,0.844961,30,4,1104.0
rag2026-4,aus-agent-test-full,1.0,1.0,26,0,1069.0
684397d188c1deceb49af325,aus-agent-dev-full,0.923729,0.881356,16,1,994.0
684397d188c1deceb49af32d,aus-agent-dev-full,1.0,1.0,27,0,1092.0
rag2026-5,aus-agent-test-full,1.0,1.0,32,0,951.0
6847465956a0f6376a60535d,aus-agent-dev-full,1.0,1.0,21,0,981.0
rag2026-8,aus-agent-test-full,1.0,1.0,19,0,1087.0
683a58c9a7e7fe4e76958498,aus-agent-dev-full,0.903226,0.903226,32,0,1070.0
rag2026-7,aus-agent-test-full,0.710317,0.650794,30,8,1031.0
rag2026-6,aus-agent-test-full,0.459184,0.442177,33,16,1032.0
rag2026-10,aus-agent-test-full,0.788618,0.739837,27,6,1079.0
rag2026-9,aus-agent-test-full,0.915323,0.830645,29,3,1074.0
6847465956a0f6376a605367,aus-agent-dev-full,0.515,0.48,23,10,1052.0
rag2026-11,aus-agent-test-full,0.718487,0.655462,28,7,1067.0
6847465956a0f6376a605360,aus-agent-dev-full,0.523622,0.496063,32,12,1078.0
rag2026-14,aus-agent-test-full,1.0,1.0,18,0,1082.0
6847465956a0f6376a605387,aus-agent-dev-full,0.791667,0.739583,21,5,1090.0
rag2026-13,aus-agent-test-full,1.0,1.0,23,0,1085.0
6847465956a0f6376a6053a0,aus-agent-dev-full,1.0,1.0,28,0,1000.0
6847465956a0f6376a6053c9,aus-agent-dev-full,1.0,1.0,27,0,1107.0
6847465956a0f6376a605391,aus-agent-dev-full,0.817568,0.716216,32,8,1073.0
6847465956a0f6376a605404,aus-agent-dev-full,1.0,1.0,17,0,1000.0
6847465956a0f6376a6053ca,aus-agent-dev-full,0.742268,0.742268,26,5,1080.0
rag2026-12,aus-agent-test-full,0.246094,0.1875,28,20,1039.0
6847465956a0f6376a6053fb,aus-agent-dev-full,0.7,0.507692,16,6,1016.0
6847465956a0f6376a60542a,aus-agent-dev-full,1.0,1.0,27,0,1076.0
rag2026-15,aus-agent-test-full,0.862069,0.804598,21,3,1049.0
rag2026-16,aus-agent-test-full,0.946429,0.928571,32,0,1057.0
rag2026-17,aus-agent-test-full,0.698276,0.612069,25,9,1031.0
rag2026-19,aus-agent-test-full,1.0,1.0,20,0,1053.0
rag2026-18,aus-agent-test-full,1.0,1.0,30,0,1081.0
rag2026-20,aus-agent-test-full,1.0,1.0,15,0,1093.0
6847465956a0f6376a60542d,aus-agent-dev-full,0.978947,0.978947,25,0,1087.0
6847465956a0f6376a60543d,aus-agent-dev-full,1.0,1.0,23,0,994.0
6847465956a0f6376a605433,aus-agent-dev-full,0.908537,0.865854,23,1,1022.0
6847465956a0f6376a605476,aus-agent-dev-full,1.0,1.0,19,0,986.0
rag2026-22,aus-agent-test-full,1.0,1.0,30,0,1053.0
rag2026-23,aus-agent-test-full,1.0,1.0,17,0,1068.0
rag2026-24,aus-agent-test-full,1.0,1.0,17,0,996.0
rag2026-25,aus-agent-test-full,1.0,1.0,15,0,904.0
6847465956a0f6376a605440,aus-agent-dev-full,0.740741,0.740741,15,2,998.0
rag2026-21,aus-agent-test-full,1.0,1.0,31,0,1055.0
6847465956a0f6376a60547f,aus-agent-dev-full,1.0,1.0,15,0,1097.0
6847465956a0f6376a60547e,aus-agent-dev-full,1.0,1.0,22,0,1088.0
rag2026-26,aus-agent-test-full,0.98,0.96,23,0,1063.0
rag2026-29,aus-agent-test-full,1.0,1.0,30,0,1048.0
6847465956a0f6376a605493,aus-agent-dev-full,0.974138,0.965517,34,0,979.0
rag2026-28,aus-agent-test-full,0.868056,0.868056,33,3,970.0
rag2026-31,aus-agent-test-full,1.0,1.0,16,0,933.0
6847465956a0f6376a6054a7,aus-agent-dev-full,0.754808,0.615385,25,6,978.0
rag2026-30,aus-agent-test-full,1.0,1.0,28,0,1074.0
rag2026-27,aus-agent-test-full,0.621849,0.470588,28,11,1021.0
6847465956a0f6376a6054ad,aus-agent-dev-full,0.830357,0.785714,26,4,920.0
rag2026-33,aus-agent-test-full,1.0,1.0,24,0,988.0
6847465956a0f6376a6054be,aus-agent-dev-full,0.84252,0.84252,29,4,1022.0
rag2026-34,aus-agent-test-full,0.846154,0.846154,19,0,1093.0
rag2026-35,aus-agent-test-full,1.0,1.0,28,0,1061.0
6847465956a0f6376a605492,aus-agent-dev-full,0.597938,0.546392,23,8,1059.0
rag2026-36,aus-agent-test-full,1.0,1.0,23,0,1076.0
rag2026-32,aus-agent-test-full,0.962963,0.955556,33,0,1026.0
rag2026-37,aus-agent-test-full,1.0,1.0,23,0,1009.0
rag2026-38,aus-agent-test-full,1.0,1.0,28,0,1065.0
rag2026-42,aus-agent-test-full,1.0,1.0,16,0,1050.0
rag2026-41,aus-agent-test-full,1.0,1.0,23,0,960.0
rag2026-43,aus-agent-test-full,0.635514,0.635514,28,7,1030.0
rag2026-40,aus-agent-test-full,0.945055,0.89011,23,2,1028.0
rag2026-45,aus-agent-test-full,1.0,1.0,29,0,1075.0
rag2026-46,aus-agent-test-full,0.881944,0.833333,18,2,1035.0
rag2026-39,aus-agent-test-full,0.9375,0.897727,23,1,1045.0
rag2026-0,aus-agent-test-v2,1.0,1.0,21,0,998.0
rag2026-1,aus-agent-test-v2,1.0,1.0,23,0,1057.0
rag2026-44,aus-agent-test-full,0.939655,0.939655,28,1,1098.0
