run_id,n_topics,ternary_score,binary_score
aus-agent-azure-luna,2,0.396948,0.283438
aus-agent-azure-sol,2,0.43986,0.332481
aus-agent-azure-terra,2,0.340709,0.215054
aus-agent-creative-check,10,0.573993,0.445201
aus-agent-dev-full,30,0.562711,0.461956
aus-agent-discovery-check,1,0.294355,0.25
aus-agent-luna-cap10,1,0.456897,0.362069
aus-agent-luna-dev,5,0.490236,0.344723
aus-agent-luna-dev2,3,0.493042,0.34725
aus-agent-luna-dev3,3,0.454642,0.321112
aus-agent-luna-dev4,6,0.46454,0.325988
aus-agent-math-check,1,0.278226,0.201613
aus-agent-opus-check,1,0.455645,0.387097
aus-agent-qterm-check,1,0.330645,0.274194
aus-agent-recon-check,1,0.322581,0.258065
aus-agent-sat-go,30,0.550077,0.447674
aus-agent-terra-check,1,0.197581,0.153226
aus-agent-test-full,47,0.583945,0.467267
aus-agent-test-v2,80,0.601864,0.49174
test-ase-api-server-run,1,0.0,0.0
test-ase-api-server-run-1,1,0.330645,0.314516
