run_id,n_topics,ternary_score,binary_score
aus-agent-azure-luna,2,0.433435,0.303665
aus-agent-azure-sol,2,0.431829,0.324318
aus-agent-azure-terra,2,0.365067,0.223118
aus-agent-creative-check,10,0.570687,0.428555
aus-agent-dev-full,30,0.546461,0.445088
aus-agent-discovery-check,1,0.25,0.153226
aus-agent-luna-cap10,1,0.49569,0.422414
aus-agent-luna-dev,5,0.489041,0.365196
aus-agent-luna-dev2,3,0.428629,0.289557
aus-agent-luna-dev3,3,0.47286,0.297663
aus-agent-luna-dev4,6,0.524748,0.383305
aus-agent-math-check,1,0.217742,0.16129
aus-agent-opus-check,1,0.427419,0.41129
aus-agent-qterm-check,1,0.330645,0.274194
aus-agent-recon-check,1,0.322581,0.258065
aus-agent-sat-go,30,0.546702,0.456657
aus-agent-terra-check,1,0.189516,0.153226
aus-agent-test-full,47,0.575903,0.468581
aus-agent-test-v2,80,0.597862,0.487219
test-ase-api-server-run,1,0.0,0.0
test-ase-api-server-run-1,1,0.310484,0.274194
