qid,run_id,ternary_score,binary_score,n_criteria,n_mandatory_fail,response_length
683a58c9a7e7fe4e7695846f,aus-agent-dev-full,0.480769,0.371795,18,9,1034.0
683a58c9a7e7fe4e76958488,aus-agent-dev-full,0.836066,0.704918,17,2,988.0
rag2026-1,aus-agent-test-full,0.62234,0.425532,23,10,1010.0
rag2026-0,aus-agent-test-full,0.568966,0.390805,21,9,1085.0
rag2026-2,aus-agent-test-full,0.652632,0.484211,22,9,1019.0
683a58c9a7e7fe4e7695848b,aus-agent-dev-full,0.642105,0.463158,22,9,1012.0
rag2026-3,aus-agent-test-full,0.581395,0.542636,30,11,1089.0
683a58c9a7e7fe4e76958498,aus-agent-dev-full,0.604839,0.508065,32,9,1055.0
684397d188c1deceb49af31d,aus-agent-dev-full,0.614754,0.557377,14,5,946.0
rag2026-4,aus-agent-test-full,0.880734,0.825688,26,3,1054.0
684397d188c1deceb49af325,aus-agent-dev-full,0.847458,0.728814,16,2,979.0
6847465956a0f6376a60535d,aus-agent-dev-full,0.609375,0.375,21,12,966.0
684397d188c1deceb49af32d,aus-agent-dev-full,0.666667,0.517544,27,9,1077.0
rag2026-8,aus-agent-test-full,0.620482,0.506024,19,7,1072.0
rag2026-5,aus-agent-test-full,0.553957,0.482014,32,14,936.0
rag2026-7,aus-agent-test-full,0.626984,0.539683,30,10,1016.0
rag2026-6,aus-agent-test-full,0.227891,0.142857,33,24,1017.0
6847465956a0f6376a605360,aus-agent-dev-full,0.19685,0.181102,32,18,1063.0
rag2026-9,aus-agent-test-full,0.568548,0.346774,29,15,1059.0
6847465956a0f6376a605367,aus-agent-dev-full,0.45,0.32,23,12,1037.0
6847465956a0f6376a605387,aus-agent-dev-full,0.817708,0.739583,21,5,1075.0
rag2026-10,aus-agent-test-full,0.569106,0.357724,27,15,1064.0
6847465956a0f6376a6053a0,aus-agent-dev-full,0.487705,0.459016,28,12,985.0
rag2026-11,aus-agent-test-full,0.285714,0.243697,28,16,1052.0
