run_id,n_topics,ternary_score,binary_score
aus-agent-azure-luna,4,0.810885,0.779455
aus-agent-azure-sol,4,0.837423,0.810041
aus-agent-azure-terra,4,0.788306,0.778226
aus-agent-creative-check,20,0.857551,0.820151
aus-agent-dev-full,60,0.869499,0.849102
aus-agent-discovery-check,2,0.919355,0.895161
aus-agent-luna-cap10,2,0.661638,0.612069
aus-agent-luna-dev,10,0.778152,0.743815
aus-agent-luna-dev2,6,0.821123,0.77531
aus-agent-luna-dev3,6,0.806059,0.749524
aus-agent-luna-dev4,12,0.850117,0.810791
aus-agent-math-check,2,0.794355,0.774194
aus-agent-opus-check,2,0.697581,0.669355
aus-agent-qterm-check,2,0.875,0.862903
aus-agent-recon-check,2,0.52621,0.508065
aus-agent-sat-go,60,0.920071,0.898132
aus-agent-terra-check,2,0.887097,0.879032
aus-agent-test-full,94,0.896341,0.869719
aus-agent-test-v2,160,0.86804,0.832558
test-ase-api-server-run,2,0.330645,0.330645
test-ase-api-server-run-1,2,0.657258,0.653226
