run_id,n_topics,ternary_score,binary_score
aus-agent-azure-luna,2,0.39703,0.324089
aus-agent-azure-sol,2,0.322548,0.26367
aus-agent-azure-terra,2,0.255507,0.145948
aus-agent-creative-check,10,0.583703,0.472526
aus-agent-dev-full,30,0.553099,0.468991
aus-agent-discovery-check,1,0.237903,0.169355
aus-agent-luna-cap10,1,0.469828,0.422414
aus-agent-luna-dev,5,0.483825,0.374493
aus-agent-luna-dev2,3,0.456028,0.269396
aus-agent-luna-dev3,3,0.442246,0.317287
aus-agent-luna-dev4,6,0.469861,0.357155
aus-agent-math-check,1,0.310484,0.177419
aus-agent-opus-check,1,0.362903,0.298387
aus-agent-qterm-check,1,0.318548,0.290323
aus-agent-recon-check,1,0.298387,0.241935
aus-agent-sat-go,30,0.532507,0.438952
aus-agent-terra-check,1,0.197581,0.169355
aus-agent-test-full,47,0.580872,0.470403
aus-agent-test-v2,80,0.570344,0.47086
test-ase-api-server-run,1,0.0,0.0
test-ase-api-server-run-1,1,0.262097,0.233871
