qid,run_id,ternary_score,binary_score,n_criteria,n_mandatory_fail,response_length
683a58c9a7e7fe4e7695846f,aus-agent-dev-full,0.403846,0.282051,18,10,1089.0
683a58c9a7e7fe4e76958488,aus-agent-dev-full,0.516393,0.295082,17,7,1043.0
684397d188c1deceb49af31d,aus-agent-dev-full,0.737705,0.639344,14,4,1001.0
rag2026-0,aus-agent-test-full,0.637931,0.413793,21,9,1140.0
rag2026-3,aus-agent-test-full,0.496124,0.372093,30,15,1144.0
683a58c9a7e7fe4e7695848b,aus-agent-dev-full,0.515789,0.231579,22,13,1067.0
rag2026-2,aus-agent-test-full,0.510526,0.2,22,14,1074.0
rag2026-4,aus-agent-test-full,0.743119,0.59633,26,8,1109.0
rag2026-1,aus-agent-test-full,0.489362,0.37234,23,11,1065.0
683a58c9a7e7fe4e76958498,aus-agent-dev-full,0.596774,0.508065,32,9,1110.0
684397d188c1deceb49af325,aus-agent-dev-full,0.822034,0.762712,16,2,1034.0
6847465956a0f6376a60535d,aus-agent-dev-full,0.416667,0.145833,21,16,1021.0
rag2026-6,aus-agent-test-full,0.255102,0.095238,33,25,1072.0
rag2026-8,aus-agent-test-full,0.63253,0.590361,19,6,1127.0
684397d188c1deceb49af32d,aus-agent-dev-full,0.741228,0.622807,27,7,1132.0
rag2026-5,aus-agent-test-full,0.464029,0.258993,32,19,991.0
6847465956a0f6376a605360,aus-agent-dev-full,0.181102,0.110236,32,19,1118.0
rag2026-7,aus-agent-test-full,0.519841,0.380952,30,14,1071.0
rag2026-9,aus-agent-test-full,0.528226,0.306452,29,16,1114.0
6847465956a0f6376a605387,aus-agent-dev-full,0.625,0.458333,21,10,1130.0
6847465956a0f6376a605367,aus-agent-dev-full,0.545,0.29,23,13,1092.0
rag2026-12,aus-agent-test-full,0.207031,0.070312,28,23,1079.0
6847465956a0f6376a6053a0,aus-agent-dev-full,0.446721,0.295082,28,16,1040.0
6847465956a0f6376a605391,aus-agent-dev-full,0.398649,0.148649,32,24,1113.0
rag2026-11,aus-agent-test-full,0.277311,0.184874,28,17,1107.0
6847465956a0f6376a6053c9,aus-agent-dev-full,0.247748,0.108108,27,17,1147.0
rag2026-10,aus-agent-test-full,0.560976,0.365854,27,14,1119.0
6847465956a0f6376a6053fb,aus-agent-dev-full,0.476923,0.215385,16,9,1056.0
6847465956a0f6376a6053ca,aus-agent-dev-full,0.639175,0.556701,26,5,1120.0
rag2026-15,aus-agent-test-full,0.83908,0.758621,21,3,1089.0
6847465956a0f6376a605404,aus-agent-dev-full,0.726562,0.515625,17,5,1040.0
rag2026-14,aus-agent-test-full,0.326389,0.055556,18,12,1122.0
rag2026-17,aus-agent-test-full,0.237069,0.163793,25,19,1071.0
rag2026-13,aus-agent-test-full,0.542553,0.361702,23,10,1125.0
6847465956a0f6376a60542a,aus-agent-dev-full,0.444444,0.171717,27,14,1116.0
6847465956a0f6376a60542d,aus-agent-dev-full,0.473684,0.242105,25,12,1127.0
rag2026-16,aus-agent-test-full,0.392857,0.169643,32,15,1097.0
rag2026-18,aus-agent-test-full,0.539474,0.333333,30,12,1121.0
rag2026-20,aus-agent-test-full,0.704545,0.409091,15,7,1133.0
rag2026-19,aus-agent-test-full,0.373418,0.240506,20,10,1093.0
6847465956a0f6376a60543d,aus-agent-dev-full,0.101266,0.075949,23,11,1034.0
6847465956a0f6376a605440,aus-agent-dev-full,0.527778,0.351852,15,5,1038.0
rag2026-23,aus-agent-test-full,0.768657,0.716418,17,3,1108.0
rag2026-22,aus-agent-test-full,0.45122,0.349593,30,14,1093.0
6847465956a0f6376a605476,aus-agent-dev-full,0.288732,0.098592,19,10,1026.0
6847465956a0f6376a605433,aus-agent-dev-full,0.786585,0.670732,23,3,1062.0
rag2026-25,aus-agent-test-full,0.777778,0.619048,15,4,944.0
rag2026-24,aus-agent-test-full,0.609589,0.356164,17,9,1036.0
6847465956a0f6376a60547e,aus-agent-dev-full,0.467391,0.282609,22,12,1128.0
rag2026-21,aus-agent-test-full,0.468182,0.418182,31,8,1095.0
6847465956a0f6376a605492,aus-agent-dev-full,0.386598,0.175258,23,14,1099.0
6847465956a0f6376a60547f,aus-agent-dev-full,0.866667,0.85,15,1,1137.0
rag2026-26,aus-agent-test-full,0.61,0.39,23,11,1103.0
6847465956a0f6376a605493,aus-agent-dev-full,0.362069,0.344828,34,10,1019.0
rag2026-27,aus-agent-test-full,0.436975,0.243697,28,16,1061.0
6847465956a0f6376a6054a7,aus-agent-dev-full,0.514423,0.182692,25,15,1018.0
rag2026-30,aus-agent-test-full,0.52,0.336,28,15,1114.0
rag2026-29,aus-agent-test-full,0.556818,0.371212,30,15,1088.0
rag2026-31,aus-agent-test-full,0.646154,0.292308,16,8,973.0
rag2026-32,aus-agent-test-full,0.744444,0.644444,33,8,1066.0
rag2026-34,aus-agent-test-full,0.592308,0.446154,19,4,1133.0
6847465956a0f6376a6054be,aus-agent-dev-full,0.275591,0.015748,29,23,1062.0
6847465956a0f6376a6054ad,aus-agent-dev-full,0.674107,0.517857,26,10,960.0
rag2026-33,aus-agent-test-full,0.523148,0.342593,24,13,1028.0
rag2026-35,aus-agent-test-full,0.332031,0.226562,28,19,1101.0
