run_a,run_b,shared_topics,valid_judgments,run_a_wins,run_b_wins,ties,run_a_preference_rate,run_b_preference_rate
aus-agent-azure-luna,aus-agent-azure-sol,2,2,0,2,0,0.0,1.0
aus-agent-azure-luna,aus-agent-azure-terra,2,2,1,1,0,0.5,0.5
aus-agent-azure-luna,aus-agent-creative-check,0,0,0,0,0,,
aus-agent-azure-luna,aus-agent-dev-full,0,0,0,0,0,,
aus-agent-azure-luna,aus-agent-discovery-check,1,1,1,0,0,1.0,0.0
aus-agent-azure-luna,aus-agent-luna-cap10,0,0,0,0,0,,
aus-agent-azure-luna,aus-agent-luna-dev,0,0,0,0,0,,
aus-agent-azure-luna,aus-agent-luna-dev2,0,0,0,0,0,,
aus-agent-azure-luna,aus-agent-luna-dev3,0,0,0,0,0,,
aus-agent-azure-luna,aus-agent-luna-dev4,0,0,0,0,0,,
aus-agent-azure-luna,aus-agent-math-check,1,1,1,0,0,1.0,0.0
aus-agent-azure-luna,aus-agent-opus-check,1,1,0,1,0,0.0,1.0
aus-agent-azure-luna,aus-agent-qterm-check,1,1,0,1,0,0.0,1.0
aus-agent-azure-luna,aus-agent-recon-check,1,1,1,0,0,1.0,0.0
aus-agent-azure-luna,aus-agent-sat-go,0,0,0,0,0,,
aus-agent-azure-luna,aus-agent-terra-check,1,1,1,0,0,1.0,0.0
aus-agent-azure-luna,aus-agent-test-full,1,1,0,1,0,0.0,1.0
aus-agent-azure-luna,aus-agent-test-v2,2,2,1,1,0,0.5,0.5
aus-agent-azure-luna,test-ase-api-server-run-1,1,1,1,0,0,1.0,0.0
aus-agent-azure-luna,test-ase-api-server-run,1,1,1,0,0,1.0,0.0
aus-agent-azure-sol,aus-agent-azure-terra,2,2,1,1,0,0.5,0.5
aus-agent-azure-sol,aus-agent-creative-check,0,0,0,0,0,,
aus-agent-azure-sol,aus-agent-dev-full,0,0,0,0,0,,
aus-agent-azure-sol,aus-agent-discovery-check,1,1,1,0,0,1.0,0.0
aus-agent-azure-sol,aus-agent-luna-cap10,0,0,0,0,0,,
aus-agent-azure-sol,aus-agent-luna-dev,0,0,0,0,0,,
aus-agent-azure-sol,aus-agent-luna-dev2,0,0,0,0,0,,
aus-agent-azure-sol,aus-agent-luna-dev3,0,0,0,0,0,,
aus-agent-azure-sol,aus-agent-luna-dev4,0,0,0,0,0,,
aus-agent-azure-sol,aus-agent-math-check,1,1,1,0,0,1.0,0.0
aus-agent-azure-sol,aus-agent-opus-check,1,1,0,1,0,0.0,1.0
aus-agent-azure-sol,aus-agent-qterm-check,1,1,0,1,0,0.0,1.0
aus-agent-azure-sol,aus-agent-recon-check,1,1,1,0,0,1.0,0.0
aus-agent-azure-sol,aus-agent-sat-go,0,0,0,0,0,,
aus-agent-azure-sol,aus-agent-terra-check,1,1,1,0,0,1.0,0.0
aus-agent-azure-sol,aus-agent-test-full,1,1,0,1,0,0.0,1.0
aus-agent-azure-sol,aus-agent-test-v2,2,2,2,0,0,1.0,0.0
aus-agent-azure-sol,test-ase-api-server-run-1,1,1,1,0,0,1.0,0.0
aus-agent-azure-sol,test-ase-api-server-run,1,1,1,0,0,1.0,0.0
aus-agent-azure-terra,aus-agent-creative-check,0,0,0,0,0,,
aus-agent-azure-terra,aus-agent-dev-full,0,0,0,0,0,,
aus-agent-azure-terra,aus-agent-discovery-check,1,1,1,0,0,1.0,0.0
aus-agent-azure-terra,aus-agent-luna-cap10,0,0,0,0,0,,
aus-agent-azure-terra,aus-agent-luna-dev,0,0,0,0,0,,
aus-agent-azure-terra,aus-agent-luna-dev2,0,0,0,0,0,,
aus-agent-azure-terra,aus-agent-luna-dev3,0,0,0,0,0,,
aus-agent-azure-terra,aus-agent-luna-dev4,0,0,0,0,0,,
aus-agent-azure-terra,aus-agent-math-check,1,1,0,0,1,0.5,0.5
aus-agent-azure-terra,aus-agent-opus-check,1,1,0,1,0,0.0,1.0
aus-agent-azure-terra,aus-agent-qterm-check,1,1,0,1,0,0.0,1.0
aus-agent-azure-terra,aus-agent-recon-check,1,1,1,0,0,1.0,0.0
aus-agent-azure-terra,aus-agent-sat-go,0,0,0,0,0,,
aus-agent-azure-terra,aus-agent-terra-check,1,1,0,1,0,0.0,1.0
aus-agent-azure-terra,aus-agent-test-full,1,1,0,1,0,0.0,1.0
aus-agent-azure-terra,aus-agent-test-v2,2,2,1,1,0,0.5,0.5
aus-agent-azure-terra,test-ase-api-server-run-1,1,1,0,1,0,0.0,1.0
aus-agent-azure-terra,test-ase-api-server-run,1,1,1,0,0,1.0,0.0
aus-agent-creative-check,aus-agent-dev-full,10,10,2,8,0,0.2,0.8
aus-agent-creative-check,aus-agent-discovery-check,0,0,0,0,0,,
aus-agent-creative-check,aus-agent-luna-cap10,0,0,0,0,0,,
aus-agent-creative-check,aus-agent-luna-dev,2,2,1,1,0,0.5,0.5
aus-agent-creative-check,aus-agent-luna-dev2,1,1,0,1,0,0.0,1.0
aus-agent-creative-check,aus-agent-luna-dev3,1,1,0,1,0,0.0,1.0
aus-agent-creative-check,aus-agent-luna-dev4,2,2,1,1,0,0.5,0.5
aus-agent-creative-check,aus-agent-math-check,0,0,0,0,0,,
aus-agent-creative-check,aus-agent-opus-check,0,0,0,0,0,,
aus-agent-creative-check,aus-agent-qterm-check,0,0,0,0,0,,
aus-agent-creative-check,aus-agent-recon-check,0,0,0,0,0,,
aus-agent-creative-check,aus-agent-sat-go,10,10,2,8,0,0.2,0.8
aus-agent-creative-check,aus-agent-terra-check,0,0,0,0,0,,
aus-agent-creative-check,aus-agent-test-full,0,0,0,0,0,,
aus-agent-creative-check,aus-agent-test-v2,0,0,0,0,0,,
aus-agent-creative-check,test-ase-api-server-run-1,0,0,0,0,0,,
aus-agent-creative-check,test-ase-api-server-run,0,0,0,0,0,,
aus-agent-dev-full,aus-agent-discovery-check,0,0,0,0,0,,
aus-agent-dev-full,aus-agent-luna-cap10,1,1,0,1,0,0.0,1.0
aus-agent-dev-full,aus-agent-luna-dev,5,5,1,4,0,0.2,0.8
aus-agent-dev-full,aus-agent-luna-dev2,3,3,1,2,0,0.333333,0.666667
aus-agent-dev-full,aus-agent-luna-dev3,3,3,1,2,0,0.333333,0.666667
aus-agent-dev-full,aus-agent-luna-dev4,6,6,5,1,0,0.833333,0.166667
aus-agent-dev-full,aus-agent-math-check,0,0,0,0,0,,
aus-agent-dev-full,aus-agent-opus-check,0,0,0,0,0,,
aus-agent-dev-full,aus-agent-qterm-check,0,0,0,0,0,,
aus-agent-dev-full,aus-agent-recon-check,0,0,0,0,0,,
aus-agent-dev-full,aus-agent-sat-go,30,30,15,14,1,0.516667,0.483333
aus-agent-dev-full,aus-agent-terra-check,0,0,0,0,0,,
aus-agent-dev-full,aus-agent-test-full,0,0,0,0,0,,
aus-agent-dev-full,aus-agent-test-v2,0,0,0,0,0,,
aus-agent-dev-full,test-ase-api-server-run-1,0,0,0,0,0,,
aus-agent-dev-full,test-ase-api-server-run,0,0,0,0,0,,
aus-agent-discovery-check,aus-agent-luna-cap10,0,0,0,0,0,,
aus-agent-discovery-check,aus-agent-luna-dev,0,0,0,0,0,,
aus-agent-discovery-check,aus-agent-luna-dev2,0,0,0,0,0,,
aus-agent-discovery-check,aus-agent-luna-dev3,0,0,0,0,0,,
aus-agent-discovery-check,aus-agent-luna-dev4,0,0,0,0,0,,
aus-agent-discovery-check,aus-agent-math-check,1,1,0,1,0,0.0,1.0
aus-agent-discovery-check,aus-agent-opus-check,1,1,0,1,0,0.0,1.0
aus-agent-discovery-check,aus-agent-qterm-check,1,1,0,1,0,0.0,1.0
aus-agent-discovery-check,aus-agent-recon-check,1,1,0,1,0,0.0,1.0
aus-agent-discovery-check,aus-agent-sat-go,0,0,0,0,0,,
aus-agent-discovery-check,aus-agent-terra-check,1,1,1,0,0,1.0,0.0
aus-agent-discovery-check,aus-agent-test-full,0,0,0,0,0,,
aus-agent-discovery-check,aus-agent-test-v2,1,1,1,0,0,1.0,0.0
aus-agent-discovery-check,test-ase-api-server-run-1,1,1,1,0,0,1.0,0.0
aus-agent-discovery-check,test-ase-api-server-run,1,1,1,0,0,1.0,0.0
aus-agent-luna-cap10,aus-agent-luna-dev,1,1,0,0,1,0.5,0.5
aus-agent-luna-cap10,aus-agent-luna-dev2,0,0,0,0,0,,
aus-agent-luna-cap10,aus-agent-luna-dev3,0,0,0,0,0,,
aus-agent-luna-cap10,aus-agent-luna-dev4,1,1,1,0,0,1.0,0.0
aus-agent-luna-cap10,aus-agent-math-check,0,0,0,0,0,,
aus-agent-luna-cap10,aus-agent-opus-check,0,0,0,0,0,,
aus-agent-luna-cap10,aus-agent-qterm-check,0,0,0,0,0,,
aus-agent-luna-cap10,aus-agent-recon-check,0,0,0,0,0,,
aus-agent-luna-cap10,aus-agent-sat-go,1,1,1,0,0,1.0,0.0
aus-agent-luna-cap10,aus-agent-terra-check,0,0,0,0,0,,
aus-agent-luna-cap10,aus-agent-test-full,0,0,0,0,0,,
aus-agent-luna-cap10,aus-agent-test-v2,0,0,0,0,0,,
aus-agent-luna-cap10,test-ase-api-server-run-1,0,0,0,0,0,,
aus-agent-luna-cap10,test-ase-api-server-run,0,0,0,0,0,,
aus-agent-luna-dev,aus-agent-luna-dev2,2,2,1,1,0,0.5,0.5
aus-agent-luna-dev,aus-agent-luna-dev3,2,2,0,2,0,0.0,1.0
aus-agent-luna-dev,aus-agent-luna-dev4,4,4,2,2,0,0.5,0.5
aus-agent-luna-dev,aus-agent-math-check,0,0,0,0,0,,
aus-agent-luna-dev,aus-agent-opus-check,0,0,0,0,0,,
aus-agent-luna-dev,aus-agent-qterm-check,0,0,0,0,0,,
aus-agent-luna-dev,aus-agent-recon-check,0,0,0,0,0,,
aus-agent-luna-dev,aus-agent-sat-go,5,5,3,2,0,0.6,0.4
aus-agent-luna-dev,aus-agent-terra-check,0,0,0,0,0,,
aus-agent-luna-dev,aus-agent-test-full,0,0,0,0,0,,
aus-agent-luna-dev,aus-agent-test-v2,0,0,0,0,0,,
aus-agent-luna-dev,test-ase-api-server-run-1,0,0,0,0,0,,
aus-agent-luna-dev,test-ase-api-server-run,0,0,0,0,0,,
aus-agent-luna-dev2,aus-agent-luna-dev3,3,3,2,1,0,0.666667,0.333333
aus-agent-luna-dev2,aus-agent-luna-dev4,3,3,3,0,0,1.0,0.0
aus-agent-luna-dev2,aus-agent-math-check,0,0,0,0,0,,
aus-agent-luna-dev2,aus-agent-opus-check,0,0,0,0,0,,
aus-agent-luna-dev2,aus-agent-qterm-check,0,0,0,0,0,,
aus-agent-luna-dev2,aus-agent-recon-check,0,0,0,0,0,,
aus-agent-luna-dev2,aus-agent-sat-go,3,3,0,3,0,0.0,1.0
aus-agent-luna-dev2,aus-agent-terra-check,0,0,0,0,0,,
aus-agent-luna-dev2,aus-agent-test-full,0,0,0,0,0,,
aus-agent-luna-dev2,aus-agent-test-v2,0,0,0,0,0,,
aus-agent-luna-dev2,test-ase-api-server-run-1,0,0,0,0,0,,
aus-agent-luna-dev2,test-ase-api-server-run,0,0,0,0,0,,
aus-agent-luna-dev3,aus-agent-luna-dev4,3,3,1,2,0,0.333333,0.666667
aus-agent-luna-dev3,aus-agent-math-check,0,0,0,0,0,,
aus-agent-luna-dev3,aus-agent-opus-check,0,0,0,0,0,,
aus-agent-luna-dev3,aus-agent-qterm-check,0,0,0,0,0,,
aus-agent-luna-dev3,aus-agent-recon-check,0,0,0,0,0,,
aus-agent-luna-dev3,aus-agent-sat-go,3,3,1,2,0,0.333333,0.666667
aus-agent-luna-dev3,aus-agent-terra-check,0,0,0,0,0,,
aus-agent-luna-dev3,aus-agent-test-full,0,0,0,0,0,,
aus-agent-luna-dev3,aus-agent-test-v2,0,0,0,0,0,,
aus-agent-luna-dev3,test-ase-api-server-run-1,0,0,0,0,0,,
aus-agent-luna-dev3,test-ase-api-server-run,0,0,0,0,0,,
aus-agent-luna-dev4,aus-agent-math-check,0,0,0,0,0,,
aus-agent-luna-dev4,aus-agent-opus-check,0,0,0,0,0,,
aus-agent-luna-dev4,aus-agent-qterm-check,0,0,0,0,0,,
aus-agent-luna-dev4,aus-agent-recon-check,0,0,0,0,0,,
aus-agent-luna-dev4,aus-agent-sat-go,6,6,5,1,0,0.833333,0.166667
aus-agent-luna-dev4,aus-agent-terra-check,0,0,0,0,0,,
aus-agent-luna-dev4,aus-agent-test-full,0,0,0,0,0,,
aus-agent-luna-dev4,aus-agent-test-v2,0,0,0,0,0,,
aus-agent-luna-dev4,test-ase-api-server-run-1,0,0,0,0,0,,
aus-agent-luna-dev4,test-ase-api-server-run,0,0,0,0,0,,
aus-agent-math-check,aus-agent-opus-check,1,1,0,1,0,0.0,1.0
aus-agent-math-check,aus-agent-qterm-check,1,1,1,0,0,1.0,0.0
aus-agent-math-check,aus-agent-recon-check,1,1,1,0,0,1.0,0.0
aus-agent-math-check,aus-agent-sat-go,0,0,0,0,0,,
aus-agent-math-check,aus-agent-terra-check,1,1,1,0,0,1.0,0.0
aus-agent-math-check,aus-agent-test-full,0,0,0,0,0,,
aus-agent-math-check,aus-agent-test-v2,1,1,0,1,0,0.0,1.0
aus-agent-math-check,test-ase-api-server-run-1,1,1,1,0,0,1.0,0.0
aus-agent-math-check,test-ase-api-server-run,1,1,1,0,0,1.0,0.0
aus-agent-opus-check,aus-agent-qterm-check,1,1,1,0,0,1.0,0.0
aus-agent-opus-check,aus-agent-recon-check,1,1,1,0,0,1.0,0.0
aus-agent-opus-check,aus-agent-sat-go,0,0,0,0,0,,
aus-agent-opus-check,aus-agent-terra-check,1,1,1,0,0,1.0,0.0
aus-agent-opus-check,aus-agent-test-full,0,0,0,0,0,,
aus-agent-opus-check,aus-agent-test-v2,1,1,1,0,0,1.0,0.0
aus-agent-opus-check,test-ase-api-server-run-1,1,1,1,0,0,1.0,0.0
