run_id,n_topics,ternary_score,binary_score
aus-agent-azure-luna,2,0.453727,0.247082
aus-agent-azure-sol,2,0.395325,0.22302
aus-agent-azure-terra,2,0.340709,0.235379
aus-agent-creative-check,10,0.520369,0.359888
aus-agent-dev-full,30,0.496148,0.339105
aus-agent-discovery-check,1,0.310484,0.233871
aus-agent-luna-cap10,1,0.431034,0.327586
aus-agent-luna-dev,5,0.473409,0.264991
aus-agent-luna-dev2,3,0.467401,0.204983
aus-agent-luna-dev3,3,0.43505,0.189992
aus-agent-luna-dev4,6,0.478092,0.271063
aus-agent-math-check,1,0.28629,0.16129
aus-agent-opus-check,1,0.391129,0.258065
aus-agent-qterm-check,1,0.330645,0.274194
aus-agent-recon-check,1,0.326613,0.282258
aus-agent-sat-go,30,0.508281,0.34931
aus-agent-terra-check,1,0.201613,0.096774
aus-agent-test-full,47,0.511362,0.339088
aus-agent-test-v2,80,0.524862,0.366292
test-ase-api-server-run,1,0.0,0.0
test-ase-api-server-run-1,1,0.282258,0.217742
