qid,run_id,ternary_score,binary_score,n_criteria,n_mandatory_fail,response_length
683a58c9a7e7fe4e7695846f,aus-agent-dev-full,0.846154,0.846154,18,2,1043.0
rag2026-1,aus-agent-test-full,1.0,1.0,23,0,1019.0
683a58c9a7e7fe4e76958488,aus-agent-dev-full,0.762295,0.704918,17,2,997.0
rag2026-2,aus-agent-test-full,0.731579,0.694737,22,5,1028.0
rag2026-3,aus-agent-test-full,0.903101,0.883721,30,3,1098.0
rag2026-0,aus-agent-test-full,0.816092,0.632184,21,6,1094.0
683a58c9a7e7fe4e7695848b,aus-agent-dev-full,0.694737,0.484211,22,9,1021.0
684397d188c1deceb49af31d,aus-agent-dev-full,1.0,1.0,14,0,955.0
683a58c9a7e7fe4e76958498,aus-agent-dev-full,0.774194,0.725806,32,4,1064.0
684397d188c1deceb49af325,aus-agent-dev-full,0.923729,0.881356,16,1,988.0
rag2026-4,aus-agent-test-full,0.889908,0.798165,26,4,1063.0
6847465956a0f6376a60535d,aus-agent-dev-full,1.0,1.0,21,0,975.0
684397d188c1deceb49af32d,aus-agent-dev-full,1.0,1.0,27,0,1086.0
rag2026-8,aus-agent-test-full,1.0,1.0,19,0,1081.0
rag2026-5,aus-agent-test-full,0.730216,0.676259,32,9,945.0
rag2026-7,aus-agent-test-full,0.849206,0.809524,30,4,1025.0
rag2026-6,aus-agent-test-full,0.210884,0.142857,33,24,1026.0
6847465956a0f6376a605360,aus-agent-dev-full,0.224409,0.19685,32,18,1072.0
6847465956a0f6376a605387,aus-agent-dev-full,0.84375,0.791667,21,4,1084.0
rag2026-9,aus-agent-test-full,0.78629,0.685484,29,7,1068.0
rag2026-11,aus-agent-test-full,1.0,1.0,28,0,1061.0
rag2026-10,aus-agent-test-full,0.788618,0.739837,27,6,1073.0
6847465956a0f6376a605367,aus-agent-dev-full,0.395,0.36,23,12,1046.0
6847465956a0f6376a6053a0,aus-agent-dev-full,1.0,1.0,28,0,994.0
6847465956a0f6376a605391,aus-agent-dev-full,0.763514,0.72973,32,8,1067.0
rag2026-14,aus-agent-test-full,0.9375,0.902778,18,1,1076.0
6847465956a0f6376a6053c9,aus-agent-dev-full,1.0,1.0,27,0,1101.0
rag2026-12,aus-agent-test-full,0.519531,0.5,28,12,1033.0
rag2026-13,aus-agent-test-full,1.0,1.0,23,0,1079.0
6847465956a0f6376a6053fb,aus-agent-dev-full,0.884615,0.769231,16,3,1010.0
6847465956a0f6376a605404,aus-agent-dev-full,1.0,1.0,17,0,994.0
rag2026-15,aus-agent-test-full,0.850575,0.83908,21,2,1043.0
6847465956a0f6376a6053ca,aus-agent-dev-full,0.85567,0.835052,26,0,1074.0
rag2026-16,aus-agent-test-full,1.0,1.0,32,0,1051.0
rag2026-17,aus-agent-test-full,0.905172,0.896552,25,2,1025.0
6847465956a0f6376a60542a,aus-agent-dev-full,1.0,1.0,27,0,1070.0
6847465956a0f6376a60542d,aus-agent-dev-full,0.978947,0.978947,25,0,1081.0
rag2026-19,aus-agent-test-full,0.651899,0.620253,20,6,1047.0
rag2026-20,aus-agent-test-full,0.757576,0.590909,15,5,1087.0
6847465956a0f6376a60543d,aus-agent-dev-full,1.0,1.0,23,0,988.0
rag2026-18,aus-agent-test-full,0.710526,0.614035,30,6,1075.0
6847465956a0f6376a605440,aus-agent-dev-full,0.87037,0.851852,15,0,992.0
