run_id,n_topics,ternary_score,binary_score
aus-agent-azure-luna,2,0.39303,0.324154
aus-agent-azure-sol,2,0.39126,0.312057
aus-agent-azure-terra,2,0.344742,0.235215
aus-agent-creative-check,10,0.568962,0.465311
aus-agent-dev-full,30,0.550324,0.468793
aus-agent-discovery-check,1,0.258065,0.193548
aus-agent-luna-cap10,1,0.487069,0.422414
aus-agent-luna-dev,5,0.447154,0.318985
aus-agent-luna-dev2,3,0.456503,0.31584
aus-agent-luna-dev3,3,0.463234,0.299814
aus-agent-luna-dev4,6,0.49213,0.365067
aus-agent-math-check,1,0.245968,0.16129
aus-agent-opus-check,1,0.370968,0.330645
aus-agent-qterm-check,1,0.346774,0.290323
aus-agent-recon-check,1,0.28629,0.258065
aus-agent-sat-go,30,0.533356,0.445739
aus-agent-terra-check,1,0.209677,0.193548
aus-agent-test-full,47,0.564938,0.470906
aus-agent-test-v2,80,0.580809,0.482431
test-ase-api-server-run,1,0.0,0.0
test-ase-api-server-run-1,1,0.262097,0.217742
