run_id,n_topics,ternary_score,binary_score
aus-agent-azure-luna,4,0.545486,0.509917
aus-agent-azure-sol,4,0.514842,0.463185
aus-agent-azure-terra,4,0.477249,0.451842
aus-agent-creative-check,20,0.75024,0.74235
aus-agent-dev-full,60,0.715799,0.701101
aus-agent-discovery-check,2,0.425403,0.415323
aus-agent-luna-cap10,2,0.698276,0.693966
aus-agent-luna-dev,10,0.606124,0.589
aus-agent-luna-dev2,6,0.679389,0.662407
aus-agent-luna-dev3,6,0.638441,0.60639
aus-agent-luna-dev4,12,0.646606,0.610989
aus-agent-math-check,2,0.471774,0.471774
aus-agent-opus-check,2,0.528226,0.516129
aus-agent-qterm-check,2,0.683468,0.665323
aus-agent-recon-check,2,0.627016,0.616935
aus-agent-sat-go,60,0.710567,0.693698
aus-agent-terra-check,2,0.439516,0.439516
aus-agent-test-full,94,0.748385,0.727131
aus-agent-test-v2,160,0.748474,0.72988
test-ase-api-server-run,2,0.665323,0.665323
test-ase-api-server-run-1,2,0.358871,0.330645
