qid,run_id,ternary_score,binary_score,n_criteria,n_mandatory_fail,response_length
683a58c9a7e7fe4e7695846f,aus-agent-dev-full,0.76087,0.695652,22,4,962.0
683a58c9a7e7fe4e7695846f,aus-agent-sat-go,0.619565,0.608696,22,6,977.0
683a58c9a7e7fe4e76958488,aus-agent-dev-full,0.847826,0.817391,29,1,940.0
683a58c9a7e7fe4e7695846f,aus-agent-creative-check,0.652174,0.586957,22,6,1012.0
rag2026-0,aus-agent-test-v2,0.695402,0.551724,21,7,915.0
rag2026-0,aus-agent-test-full,0.637931,0.436782,21,9,1017.0
683a58c9a7e7fe4e76958488,aus-agent-creative-check,0.673913,0.6,29,6,951.0
rag2026-2,aus-agent-test-full,0.613402,0.453608,23,9,972.0
rag2026-2,aus-agent-test-v2,0.335052,0.298969,23,12,979.0
rag2026-3,aus-agent-test-v2,0.75431,0.689655,28,6,987.0
rag2026-3,aus-agent-test-full,0.836207,0.775862,28,4,1015.0
683a58c9a7e7fe4e7695848b,aus-agent-creative-check,0.564885,0.473282,28,13,1006.0
rag2026-1,aus-agent-test-full,0.606195,0.477876,28,9,954.0
683a58c9a7e7fe4e7695848b,aus-agent-dev-full,0.454198,0.343511,28,16,968.0
683a58c9a7e7fe4e76958488,aus-agent-sat-go,0.626087,0.513043,29,8,653.0
rag2026-1,aus-agent-test-v2,0.442478,0.371681,28,11,986.0
683a58c9a7e7fe4e7695848b,aus-agent-sat-go,0.660305,0.564885,28,11,986.0
