qid,run_id,ternary_score,binary_score,n_criteria,n_mandatory_fail,response_length
683a58c9a7e7fe4e7695846f,aus-agent-dev-full,0.512821,0.435897,18,8,1089.0
683a58c9a7e7fe4e76958488,aus-agent-dev-full,0.778689,0.704918,17,2,1043.0
683a58c9a7e7fe4e7695848b,aus-agent-dev-full,0.605263,0.410526,22,10,1067.0
683a58c9a7e7fe4e76958498,aus-agent-dev-full,0.633065,0.564516,32,8,1110.0
rag2026-2,aus-agent-test-full,0.442105,0.221053,22,14,1074.0
rag2026-3,aus-agent-test-full,0.515504,0.449612,30,13,1144.0
rag2026-0,aus-agent-test-full,0.614943,0.390805,21,9,1140.0
rag2026-1,aus-agent-test-full,0.595745,0.478723,23,9,1065.0
684397d188c1deceb49af31d,aus-agent-dev-full,0.655738,0.639344,14,4,1001.0
rag2026-4,aus-agent-test-full,0.857798,0.825688,26,3,1109.0
684397d188c1deceb49af325,aus-agent-dev-full,0.847458,0.728814,16,2,1034.0
684397d188c1deceb49af32d,aus-agent-dev-full,0.679825,0.605263,27,7,1132.0
rag2026-8,aus-agent-test-full,0.674699,0.614458,19,6,1127.0
rag2026-5,aus-agent-test-full,0.521583,0.496403,32,12,991.0
6847465956a0f6376a60535d,aus-agent-dev-full,0.427083,0.322917,21,13,1021.0
rag2026-7,aus-agent-test-full,0.706349,0.619048,30,8,1071.0
rag2026-6,aus-agent-test-full,0.204082,0.129252,33,24,1072.0
6847465956a0f6376a605360,aus-agent-dev-full,0.19685,0.181102,32,18,1118.0
rag2026-9,aus-agent-test-full,0.520161,0.370968,29,14,1114.0
6847465956a0f6376a605387,aus-agent-dev-full,0.791667,0.791667,21,4,1130.0
6847465956a0f6376a605367,aus-agent-dev-full,0.46,0.29,23,13,1092.0
rag2026-11,aus-agent-test-full,0.243697,0.201681,28,17,1107.0
rag2026-10,aus-agent-test-full,0.601626,0.463415,27,12,1119.0
6847465956a0f6376a6053a0,aus-agent-dev-full,0.487705,0.418033,28,13,1040.0
rag2026-12,aus-agent-test-full,0.238281,0.132812,28,21,1079.0
6847465956a0f6376a6053c9,aus-agent-dev-full,0.198198,0.189189,27,16,1147.0
rag2026-14,aus-agent-test-full,0.618056,0.5,18,6,1122.0
6847465956a0f6376a6053ca,aus-agent-dev-full,0.618557,0.536082,26,5,1120.0
rag2026-15,aus-agent-test-full,0.83908,0.758621,21,3,1089.0
rag2026-13,aus-agent-test-full,0.5,0.382979,23,10,1125.0
6847465956a0f6376a6053fb,aus-agent-dev-full,0.507692,0.276923,16,9,1056.0
6847465956a0f6376a605391,aus-agent-dev-full,0.452703,0.344595,32,19,1113.0
6847465956a0f6376a605404,aus-agent-dev-full,0.84375,0.75,17,2,1040.0
rag2026-17,aus-agent-test-full,0.228448,0.206897,25,18,1071.0
6847465956a0f6376a60542a,aus-agent-dev-full,0.611111,0.474747,27,8,1116.0
rag2026-20,aus-agent-test-full,0.704545,0.484848,15,6,1133.0
rag2026-19,aus-agent-test-full,0.329114,0.265823,20,10,1093.0
rag2026-16,aus-agent-test-full,0.401786,0.25,32,14,1097.0
6847465956a0f6376a605433,aus-agent-dev-full,0.676829,0.634146,23,4,1062.0
6847465956a0f6376a60542d,aus-agent-dev-full,0.663158,0.6,25,6,1127.0
6847465956a0f6376a60543d,aus-agent-dev-full,0.164557,0.139241,23,10,1034.0
rag2026-18,aus-agent-test-full,0.583333,0.377193,30,11,1121.0
6847465956a0f6376a605476,aus-agent-dev-full,0.098592,0.028169,19,11,1026.0
6847465956a0f6376a605440,aus-agent-dev-full,0.564815,0.5,15,3,1038.0
rag2026-23,aus-agent-test-full,0.783582,0.746269,17,3,1108.0
rag2026-25,aus-agent-test-full,0.857143,0.777778,15,2,944.0
rag2026-22,aus-agent-test-full,0.430894,0.308943,30,15,1093.0
rag2026-21,aus-agent-test-full,0.504545,0.463636,31,7,1095.0
rag2026-24,aus-agent-test-full,0.869863,0.767123,17,3,1036.0
6847465956a0f6376a60547e,aus-agent-dev-full,0.494565,0.445652,22,9,1128.0
6847465956a0f6376a60547f,aus-agent-dev-full,0.858333,0.8,15,2,1137.0
6847465956a0f6376a605492,aus-agent-dev-full,0.5,0.402062,23,10,1099.0
rag2026-26,aus-agent-test-full,0.88,0.81,23,3,1103.0
6847465956a0f6376a605493,aus-agent-dev-full,0.392241,0.362069,34,10,1019.0
rag2026-27,aus-agent-test-full,0.432773,0.403361,28,13,1061.0
6847465956a0f6376a6054ad,aus-agent-dev-full,0.75,0.696429,26,6,960.0
rag2026-28,aus-agent-test-full,0.4375,0.361111,33,16,1010.0
rag2026-29,aus-agent-test-full,0.632576,0.522727,30,11,1088.0
rag2026-31,aus-agent-test-full,0.684615,0.630769,16,4,973.0
6847465956a0f6376a6054a7,aus-agent-dev-full,0.538462,0.326923,25,12,1018.0
6847465956a0f6376a6054be,aus-agent-dev-full,0.5,0.464567,29,12,1062.0
rag2026-30,aus-agent-test-full,0.492,0.376,28,14,1114.0
rag2026-33,aus-agent-test-full,0.62037,0.564815,24,9,1028.0
rag2026-32,aus-agent-test-full,0.751852,0.681481,33,7,1066.0
rag2026-34,aus-agent-test-full,0.623077,0.553846,19,3,1133.0
rag2026-36,aus-agent-test-full,0.235294,0.105882,23,12,1116.0
rag2026-35,aus-agent-test-full,0.351562,0.226562,28,19,1101.0
rag2026-37,aus-agent-test-full,0.685567,0.639175,23,5,1049.0
rag2026-38,aus-agent-test-full,0.461832,0.396947,28,15,1105.0
rag2026-39,aus-agent-test-full,0.698864,0.602273,23,5,1085.0
rag2026-40,aus-agent-test-full,0.763736,0.681319,23,5,1068.0
rag2026-42,aus-agent-test-full,0.389831,0.271186,16,7,1090.0
rag2026-41,aus-agent-test-full,0.58,0.41,23,11,1000.0
rag2026-46,aus-agent-test-full,0.6875,0.638889,18,4,1075.0
rag2026-43,aus-agent-test-full,0.453271,0.420561,28,10,1070.0
rag2026-44,aus-agent-test-full,0.633621,0.568966,28,8,1138.0
rag2026-1,aus-agent-test-v2,0.595745,0.542553,23,7,1097.0
rag2026-45,aus-agent-test-full,0.669291,0.582677,29,9,1115.0
rag2026-0,aus-agent-test-v2,0.591954,0.436782,21,9,1038.0
rag2026-3,aus-agent-test-v2,0.391473,0.317829,30,16,1116.0
rag2026-2,aus-agent-test-v2,0.573684,0.357895,22,11,1081.0
rag2026-4,aus-agent-test-v2,0.697248,0.559633,26,8,995.0
rag2026-8,aus-agent-test-v2,0.481928,0.409639,19,9,1109.0
rag2026-6,aus-agent-test-v2,0.197279,0.081633,33,25,1109.0
rag2026-7,aus-agent-test-v2,0.595238,0.555556,30,10,1093.0
rag2026-5,aus-agent-test-v2,0.76259,0.611511,32,10,1105.0
rag2026-10,aus-agent-test-v2,0.654472,0.512195,27,12,1101.0
rag2026-9,aus-agent-test-v2,0.596774,0.467742,29,12,934.0
rag2026-11,aus-agent-test-v2,0.483193,0.411765,28,12,1034.0
rag2026-12,aus-agent-test-v2,0.363281,0.226562,28,19,1128.0
rag2026-14,aus-agent-test-v2,0.6875,0.611111,18,4,1103.0
rag2026-15,aus-agent-test-v2,0.758621,0.735632,21,3,1085.0
rag2026-19,aus-agent-test-v2,0.265823,0.240506,20,10,1120.0
rag2026-13,aus-agent-test-v2,0.707447,0.56383,23,7,1083.0
rag2026-17,aus-agent-test-v2,0.530172,0.465517,25,12,1035.0
rag2026-20,aus-agent-test-v2,0.886364,0.772727,15,3,1045.0
rag2026-18,aus-agent-test-v2,0.289474,0.149123,30,15,1100.0
rag2026-23,aus-agent-test-v2,0.5,0.462687,17,6,1096.0
rag2026-25,aus-agent-test-v2,0.984127,0.968254,15,0,1025.0
rag2026-22,aus-agent-test-v2,0.276423,0.186992,30,18,1000.0
rag2026-21,aus-agent-test-v2,0.531818,0.463636,31,7,1094.0
