run_id,qid,sentence_index,citation_index,docid,support_label,support_verdict,status,statement,citation_excerpt,error,task_id
facet_rag.improved_5topic,6847465956a0f6376a605404,0,0,shard_01632_75068,FS,Full Support,completed,"Counter‑Strike: Global Offensive’s core loop relies on precise shooting, recoil control, nuanced movement and strategic utility use, creating a deep skill‑based experience.","You Are Here Decoding the Success of CS:GO's Game Design Introduction: Counter-Strike: Global Offensive (CS:GO) has cemented its position as one of the most successful and enduring multiplayer games in the world. Its addictive gameplay, competitive nature, and thriving esports scene are a testament to its exceptional game design. In this blog post, we will delve into the factors that contribute to CS:GO's success, exploring its game mechanics, level design, balance, and player engagement. Timel…",,facet_rag.improved_5topic:6847465956a0f6376a605404:s0:c0
facet_rag.improved_5topic,6847465956a0f6376a605404,2,0,shard_02764_17151,PS,Partial Support,completed,"Official CS:GO maps are built with varied layouts, chokepoints, bombsites and pathways, mixing open corridors, tight alleys and vertical sightlines to require adaptable strategies.","A Look at the Finer Details of CS:GO Map Design Introduction Counter-Strike: Global Offensive (CS:GO) is renowned for its strategic gameplay and intense battles. Behind every thrilling round lies a carefully crafted map that sets the stage for epic encounters. Map design plays a pivotal role in CS:GO, creating the foundation for tactics, engagements, and overall player experience. In this blog post, we will explore the finer details of CS:GO map design and delve into the key elements that make…",,facet_rag.improved_5topic:6847465956a0f6376a605404:s2:c0
facet_rag.improved_5topic,6847465956a0f6376a605404,5,0,shard_03131_66405,PS,Partial Support,completed,"The 2013 “Arms Deal” update introduced the eSports Weapon Case, redirecting a portion of skin sales to fund prize purses and creating a sustainable financial loop for esports growth.","Esports Essentials: The Impact of the Counter-Strike Majors Esports Essentials is a series intended as an introduction to esports for anyone looking to understand the industry. Counter-Strike has seen almost two decades of competitive play across multiple games. That competition has been headlined by events called Majors—high profile tournaments hosting the world's top teams. These Majors are also a core element to the game's long lifespan, as each year has seen over six figures in prizes acros…",,facet_rag.improved_5topic:6847465956a0f6376a605404:s5:c0
facet_rag.improved_5topic,6847465956a0f6376a605404,4,0,shard_04503_81717,FS,Full Support,completed,"Valve allows third‑party organizers such as ESL, DreamHack and ELEAGUE to run CS:GO Majors, fostering a healthy ecosystem where independent events can thrive.","Obviously they support the major tournaments and have a whole setup for that. That in itself is a very good start and it's allowed for other tournament organizers like ESL, like DreamHack, like ELEAGUE now, to come in and try and build and get some real estate in the scene, which is very important. You can't have a situation where suddenly Valve show up and say, ""Well, let's just put a $20 million tournament on,"" which they probably could. But as soon as they do that they ruin everybody else's…",,facet_rag.improved_5topic:6847465956a0f6376a605404:s4:c0
facet_rag.improved_5topic,6847465956a0f6376a605404,1,0,shard_03299_42452,PS,Partial Support,completed,"Weapons are deliberately balanced so that no single firearm dominates the meta, ensuring victory is decided by player skill rather than gear superiority.","Introduction Counter-Strike: Global Offensive (CS:GO) is a game that has evolved significantly since its release, and at the core of this evolution lies the concept of the ""meta."" The meta refers to the prevailing strategies, weapon choices, and map preferences that dominate competitive play at a given time. In this blog post, we will delve into the CS:GO meta and how it has evolved over the years, focusing on the delicate balance between weapons and maps that shape the game's competitive lands…",,facet_rag.improved_5topic:6847465956a0f6376a605404:s1:c0
facet_rag.improved_5topic,6847465956a0f6376a605404,6,0,shard_04816_17692,PS,Partial Support,completed,"Revenue is largely generated through cosmetic skins sold via microtransactions, which have no impact on in‑game performance and therefore avoid “pay‑to‑win” criticisms.","Battle Passes: In many games, there are seasonal or thematic ""battle passes"" or ""operations"" which players can purchase. Completing various challenges or playing during the season can yield additional skins and rewards. Overall, skins provide a source of ongoing revenue for Valve. They allow the company to monetize CS:GO beyond initial game sales, sustaining the game's continued development and updates. Importantly, since skins are purely cosmetic and don't offer gameplay advantages, this form…",,facet_rag.improved_5topic:6847465956a0f6376a605404:s6:c0
facet_rag.improved_5topic,6847465956a0f6376a605404,3,0,shard_02764_17151,FS,Full Support,completed,"Each map undergoes rigorous testing, community feedback and iterative refinement, keeping the competitive map pool fresh and preventing stagnation.","A Look at the Finer Details of CS:GO Map Design Introduction Counter-Strike: Global Offensive (CS:GO) is renowned for its strategic gameplay and intense battles. Behind every thrilling round lies a carefully crafted map that sets the stage for epic encounters. Map design plays a pivotal role in CS:GO, creating the foundation for tactics, engagements, and overall player experience. In this blog post, we will explore the finer details of CS:GO map design and delve into the key elements that make…",,facet_rag.improved_5topic:6847465956a0f6376a605404:s3:c0
facet_rag.improved_5topic,6847465956a0f6376a605404,2,1,shard_04173_21228,FS,Full Support,completed,"Official CS:GO maps are built with varied layouts, chokepoints, bombsites and pathways, mixing open corridors, tight alleys and vertical sightlines to require adaptable strategies.","The following is portion of a massive guide on designing levels for CS:GO, written by Exodus. They represent the current edition of the guide, as of October 30th, 2019. The full contents of the guide are shown in the index directly below. This article consists of portions that should be applicable to many different games and editors. Please follow the link at the end of this article to read through the original guide. Index 1. Prologue 2. Layout 2.1 Meeting points/Battlefronts 2.2 Chokepoints 2…",,facet_rag.improved_5topic:6847465956a0f6376a605404:s2:c1
facet_rag.improved_5topic,6847465956a0f6376a605404,10,0,shard_05927_36518,FS,Full Support,completed,"Community servers host alternative rulesets, custom maps and dedicated leaderboards, while trusted platforms enable organized leagues and tournaments.","Community Servers and Trusted Platforms Community servers and trusted platforms play an important role in the CS:GO (Counter-Strike: Global Offensive) community by providing alternative gameplay experiences, custom game modes, and a platform for players to connect and interact. This documentation provides an overview of community servers and trusted platforms in CS:GO. Custom Gameplay: Community servers offer a wide range of custom gameplay experiences beyond the official CS:GO matchmaking. The…",,facet_rag.improved_5topic:6847465956a0f6376a605404:s10:c0
facet_rag.improved_5topic,6847465956a0f6376a605404,7,0,shard_05846_57671,,Judge Error,failed,"Skins also drive player engagement by offering personalization, social status and regular novelty through new releases.","An Overview of Skinning in CS:GO Counter-Strike: Global Offensive, iconic in the realm of competitive first-person shooters, offers not just thrilling gameplay but a vivid economy of in-game items. Skins are at the forefront, providing a visual flair that elevates the gaming experience. Let's embark on a journey through the colorful world of CS:GO skins, offering insights into acquisition, trade, and optimal use of these aesthetic treasures. The Evolutionary Tale of CS:GO Skins Since their intr…",could not parse support label,facet_rag.improved_5topic:6847465956a0f6376a605404:s7:c0
