qid,run_id,ternary_score,binary_score,n_criteria,n_mandatory_fail,response_length
683a58c9a7e7fe4e7695846f,aus-agent-dev-full,0.448718,0.307692,18,10,1052.0
683a58c9a7e7fe4e76958488,aus-agent-dev-full,0.655738,0.508197,17,4,1006.0
rag2026-2,aus-agent-test-full,0.442105,0.221053,22,14,1037.0
rag2026-3,aus-agent-test-full,0.562016,0.542636,30,11,1107.0
rag2026-0,aus-agent-test-full,0.655172,0.448276,21,8,1103.0
683a58c9a7e7fe4e7695848b,aus-agent-dev-full,0.631579,0.410526,22,10,1030.0
rag2026-1,aus-agent-test-full,0.675532,0.638298,23,6,1028.0
683a58c9a7e7fe4e76958498,aus-agent-dev-full,0.620968,0.540323,32,9,1073.0
684397d188c1deceb49af31d,aus-agent-dev-full,0.57377,0.557377,14,5,964.0
rag2026-4,aus-agent-test-full,0.857798,0.779817,26,4,1072.0
684397d188c1deceb49af325,aus-agent-dev-full,0.822034,0.762712,16,2,997.0
6847465956a0f6376a60535d,aus-agent-dev-full,0.416667,0.197917,21,15,984.0
684397d188c1deceb49af32d,aus-agent-dev-full,0.688596,0.578947,27,8,1095.0
rag2026-6,aus-agent-test-full,0.170068,0.129252,33,24,1035.0
rag2026-8,aus-agent-test-full,0.680723,0.626506,19,5,1090.0
rag2026-7,aus-agent-test-full,0.686508,0.619048,30,8,1034.0
rag2026-5,aus-agent-test-full,0.611511,0.532374,32,11,954.0
6847465956a0f6376a605360,aus-agent-dev-full,0.232283,0.212598,32,18,1081.0
rag2026-9,aus-agent-test-full,0.576613,0.427419,29,13,1077.0
6847465956a0f6376a605367,aus-agent-dev-full,0.53,0.46,23,10,1055.0
rag2026-10,aus-agent-test-full,0.581301,0.463415,27,12,1082.0
6847465956a0f6376a605387,aus-agent-dev-full,0.713542,0.635417,21,7,1093.0
rag2026-11,aus-agent-test-full,0.256303,0.184874,28,17,1070.0
6847465956a0f6376a6053a0,aus-agent-dev-full,0.495902,0.434426,28,13,1003.0
6847465956a0f6376a605391,aus-agent-dev-full,0.327703,0.277027,32,21,1076.0
rag2026-13,aus-agent-test-full,0.590426,0.43617,23,9,1088.0
rag2026-14,aus-agent-test-full,0.583333,0.430556,18,7,1085.0
rag2026-12,aus-agent-test-full,0.246094,0.109375,28,22,1042.0
6847465956a0f6376a6053c9,aus-agent-dev-full,0.166667,0.144144,27,17,1110.0
6847465956a0f6376a6053ca,aus-agent-dev-full,0.597938,0.536082,26,5,1083.0
6847465956a0f6376a6053fb,aus-agent-dev-full,0.546154,0.276923,16,9,1019.0
6847465956a0f6376a605404,aus-agent-dev-full,0.835938,0.703125,17,3,1003.0
rag2026-15,aus-agent-test-full,0.850575,0.781609,21,3,1052.0
rag2026-17,aus-agent-test-full,0.206897,0.163793,25,19,1034.0
6847465956a0f6376a60542a,aus-agent-dev-full,0.525253,0.373737,27,10,1079.0
rag2026-16,aus-agent-test-full,0.464286,0.357143,32,12,1060.0
rag2026-19,aus-agent-test-full,0.373418,0.329114,20,9,1056.0
6847465956a0f6376a60542d,aus-agent-dev-full,0.626316,0.473684,25,8,1090.0
rag2026-20,aus-agent-test-full,0.681818,0.439394,15,7,1096.0
rag2026-18,aus-agent-test-full,0.605263,0.421053,30,10,1084.0
6847465956a0f6376a605433,aus-agent-dev-full,0.786585,0.756098,23,2,1025.0
6847465956a0f6376a60543d,aus-agent-dev-full,0.088608,0.075949,23,11,997.0
rag2026-23,aus-agent-test-full,0.783582,0.746269,17,3,1071.0
6847465956a0f6376a605476,aus-agent-dev-full,0.190141,0.070423,19,10,989.0
6847465956a0f6376a605440,aus-agent-dev-full,0.564815,0.5,15,3,1001.0
rag2026-24,aus-agent-test-full,0.80137,0.630137,17,5,999.0
rag2026-22,aus-agent-test-full,0.520325,0.390244,30,13,1056.0
rag2026-21,aus-agent-test-full,0.527273,0.509091,31,6,1058.0
rag2026-25,aus-agent-test-full,0.896825,0.857143,15,1,907.0
6847465956a0f6376a60547f,aus-agent-dev-full,0.883333,0.85,15,1,1100.0
6847465956a0f6376a60547e,aus-agent-dev-full,0.483696,0.336957,22,11,1091.0
6847465956a0f6376a605492,aus-agent-dev-full,0.427835,0.329897,23,11,1062.0
6847465956a0f6376a605493,aus-agent-dev-full,0.362069,0.344828,34,10,982.0
6847465956a0f6376a6054a7,aus-agent-dev-full,0.5625,0.326923,25,12,981.0
rag2026-26,aus-agent-test-full,0.83,0.71,23,5,1066.0
rag2026-27,aus-agent-test-full,0.47479,0.403361,28,13,1024.0
6847465956a0f6376a6054ad,aus-agent-dev-full,0.785714,0.741071,26,5,923.0
rag2026-29,aus-agent-test-full,0.662879,0.560606,30,10,1051.0
rag2026-28,aus-agent-test-full,0.402778,0.361111,33,16,973.0
rag2026-31,aus-agent-test-full,0.784615,0.6,16,4,936.0
rag2026-30,aus-agent-test-full,0.532,0.416,28,13,1077.0
6847465956a0f6376a6054be,aus-agent-dev-full,0.527559,0.480315,29,12,1025.0
rag2026-34,aus-agent-test-full,0.623077,0.553846,19,3,1096.0
rag2026-33,aus-agent-test-full,0.657407,0.611111,24,8,991.0
rag2026-32,aus-agent-test-full,0.774074,0.740741,33,5,1029.0
rag2026-35,aus-agent-test-full,0.332031,0.265625,28,18,1064.0
rag2026-36,aus-agent-test-full,0.176471,0.047059,23,13,1079.0
rag2026-37,aus-agent-test-full,0.628866,0.556701,23,7,1012.0
rag2026-39,aus-agent-test-full,0.636364,0.5,23,6,1048.0
rag2026-38,aus-agent-test-full,0.522901,0.427481,28,15,1068.0
rag2026-42,aus-agent-test-full,0.415254,0.186441,16,8,1053.0
rag2026-40,aus-agent-test-full,0.71978,0.571429,23,7,1031.0
rag2026-41,aus-agent-test-full,0.63,0.46,23,10,963.0
rag2026-43,aus-agent-test-full,0.523364,0.420561,28,10,1033.0
rag2026-46,aus-agent-test-full,0.680556,0.569444,18,5,1038.0
rag2026-0,aus-agent-test-v2,0.66092,0.494253,21,8,1001.0
rag2026-44,aus-agent-test-full,0.62069,0.525862,28,9,1101.0
rag2026-45,aus-agent-test-full,0.665354,0.519685,29,11,1078.0
rag2026-1,aus-agent-test-v2,0.643617,0.595745,23,6,1060.0
