run_id,n_topics,ternary_score,binary_score
aus-agent-azure-luna,2,0.621771,0.55891
aus-agent-azure-sol,2,0.674846,0.620083
aus-agent-azure-terra,2,0.576613,0.556452
aus-agent-creative-check,10,0.777212,0.717401
aus-agent-dev-full,30,0.790077,0.751017
aus-agent-discovery-check,1,0.83871,0.790323
aus-agent-luna-cap10,1,0.491379,0.413793
aus-agent-luna-dev,5,0.627382,0.567329
aus-agent-luna-dev2,3,0.714682,0.63139
aus-agent-luna-dev3,3,0.742701,0.66706
aus-agent-luna-dev4,6,0.752317,0.693698
aus-agent-math-check,1,0.58871,0.548387
aus-agent-opus-check,1,0.395161,0.33871
aus-agent-qterm-check,1,0.774194,0.758065
aus-agent-recon-check,1,0.375,0.346774
aus-agent-sat-go,30,0.847812,0.803934
aus-agent-terra-check,1,0.774194,0.758065
aus-agent-test-full,47,0.835151,0.792326
aus-agent-test-v2,80,0.778413,0.720546
test-ase-api-server-run,1,0.0,0.0
test-ase-api-server-run-1,1,0.314516,0.306452
