qid,run_id,ternary_score,binary_score,n_criteria,n_mandatory_fail,response_length
683a58c9a7e7fe4e7695846f,aus-agent-dev-full,0.448718,0.371795,18,9,962.0
683a58c9a7e7fe4e76958488,aus-agent-dev-full,0.721311,0.622951,17,3,940.0
683a58c9a7e7fe4e7695848b,aus-agent-dev-full,0.631579,0.357895,22,11,968.0
rag2026-3,aus-agent-test-full,0.562016,0.542636,30,11,1015.0
rag2026-1,aus-agent-test-full,0.5,0.340426,23,12,954.0
rag2026-2,aus-agent-test-full,0.626316,0.484211,22,9,972.0
rag2026-0,aus-agent-test-full,0.637931,0.413793,21,9,1017.0
683a58c9a7e7fe4e76958498,aus-agent-dev-full,0.633065,0.524194,32,9,1007.0
684397d188c1deceb49af31d,aus-agent-dev-full,0.696721,0.639344,14,4,905.0
684397d188c1deceb49af325,aus-agent-dev-full,0.762712,0.728814,16,2,936.0
rag2026-4,aus-agent-test-full,0.857798,0.733945,26,5,1006.0
684397d188c1deceb49af32d,aus-agent-dev-full,0.688596,0.578947,27,8,1018.0
rag2026-7,aus-agent-test-full,0.694444,0.595238,30,9,960.0
6847465956a0f6376a60535d,aus-agent-dev-full,0.375,0.114583,21,17,933.0
rag2026-8,aus-agent-test-full,0.620482,0.566265,19,6,1021.0
rag2026-5,aus-agent-test-full,0.528777,0.402878,32,15,880.0
rag2026-6,aus-agent-test-full,0.227891,0.142857,33,24,948.0
6847465956a0f6376a605360,aus-agent-dev-full,0.259843,0.19685,32,18,993.0
6847465956a0f6376a605367,aus-agent-dev-full,0.485,0.39,23,11,991.0
6847465956a0f6376a605387,aus-agent-dev-full,0.713542,0.6875,21,6,1005.0
rag2026-9,aus-agent-test-full,0.568548,0.467742,29,12,1014.0
rag2026-10,aus-agent-test-full,0.560976,0.463415,27,12,1021.0
rag2026-11,aus-agent-test-full,0.298319,0.184874,28,17,999.0
6847465956a0f6376a6053a0,aus-agent-dev-full,0.495902,0.434426,28,13,945.0
rag2026-12,aus-agent-test-full,0.1875,0.070312,28,23,956.0
6847465956a0f6376a605391,aus-agent-dev-full,0.35473,0.263514,32,21,980.0
rag2026-13,aus-agent-test-full,0.680851,0.510638,23,8,1021.0
6847465956a0f6376a6053ca,aus-agent-dev-full,0.613402,0.556701,26,5,1013.0
rag2026-14,aus-agent-test-full,0.534722,0.402778,18,7,1023.0
6847465956a0f6376a6053fb,aus-agent-dev-full,0.661538,0.507692,16,6,964.0
6847465956a0f6376a6053c9,aus-agent-dev-full,0.175676,0.144144,27,17,1006.0
6847465956a0f6376a605404,aus-agent-dev-full,0.742188,0.703125,17,3,922.0
rag2026-15,aus-agent-test-full,0.867816,0.758621,21,3,985.0
rag2026-17,aus-agent-test-full,0.206897,0.206897,25,18,962.0
rag2026-18,aus-agent-test-full,0.635965,0.464912,30,9,1015.0
rag2026-20,aus-agent-test-full,0.69697,0.469697,15,7,1004.0
rag2026-19,aus-agent-test-full,0.297468,0.265823,20,10,994.0
6847465956a0f6376a60542d,aus-agent-dev-full,0.663158,0.547368,25,7,989.0
6847465956a0f6376a60542a,aus-agent-dev-full,0.484848,0.272727,27,12,1014.0
rag2026-16,aus-agent-test-full,0.401786,0.321429,32,12,988.0
6847465956a0f6376a605433,aus-agent-dev-full,0.768293,0.634146,23,4,914.0
6847465956a0f6376a60543d,aus-agent-dev-full,0.088608,0.075949,23,11,912.0
6847465956a0f6376a605440,aus-agent-dev-full,0.601852,0.537037,15,3,958.0
6847465956a0f6376a605476,aus-agent-dev-full,0.225352,0.070423,19,10,932.0
rag2026-23,aus-agent-test-full,0.783582,0.746269,17,3,1009.0
rag2026-21,aus-agent-test-full,0.486364,0.463636,31,7,1001.0
rag2026-25,aus-agent-test-full,0.857143,0.777778,15,2,844.0
rag2026-24,aus-agent-test-full,0.767123,0.630137,17,5,947.0
rag2026-22,aus-agent-test-full,0.512195,0.308943,30,15,961.0
6847465956a0f6376a60547e,aus-agent-dev-full,0.576087,0.413043,22,10,967.0
6847465956a0f6376a60547f,aus-agent-dev-full,0.825,0.766667,15,2,1018.0
6847465956a0f6376a605492,aus-agent-dev-full,0.463918,0.350515,23,11,988.0
rag2026-26,aus-agent-test-full,0.78,0.66,23,6,986.0
rag2026-27,aus-agent-test-full,0.42437,0.285714,28,15,953.0
6847465956a0f6376a605493,aus-agent-dev-full,0.362069,0.362069,34,10,933.0
6847465956a0f6376a6054ad,aus-agent-dev-full,0.816964,0.741071,26,5,848.0
rag2026-28,aus-agent-test-full,0.416667,0.291667,33,18,913.0
6847465956a0f6376a6054a7,aus-agent-dev-full,0.538462,0.278846,25,13,928.0
rag2026-29,aus-agent-test-full,0.674242,0.590909,30,10,980.0
rag2026-31,aus-agent-test-full,0.592308,0.476923,16,6,865.0
rag2026-30,aus-agent-test-full,0.5,0.336,28,15,1007.0
6847465956a0f6376a6054be,aus-agent-dev-full,0.519685,0.480315,29,12,974.0
rag2026-34,aus-agent-test-full,0.7,0.630769,19,2,1020.0
rag2026-32,aus-agent-test-full,0.818519,0.792593,33,4,954.0
rag2026-33,aus-agent-test-full,0.657407,0.657407,24,7,933.0
rag2026-36,aus-agent-test-full,0.323529,0.223529,23,10,1012.0
rag2026-37,aus-agent-test-full,0.695876,0.608247,23,6,943.0
rag2026-35,aus-agent-test-full,0.496094,0.320312,28,17,991.0
rag2026-38,aus-agent-test-full,0.515267,0.48855,28,13,1015.0
rag2026-39,aus-agent-test-full,0.647727,0.5,23,6,985.0
rag2026-40,aus-agent-test-full,0.747253,0.626374,23,6,969.0
rag2026-42,aus-agent-test-full,0.40678,0.305085,16,7,978.0
rag2026-41,aus-agent-test-full,0.655,0.46,23,10,891.0
rag2026-43,aus-agent-test-full,0.485981,0.420561,28,10,983.0
rag2026-44,aus-agent-test-full,0.560345,0.465517,28,10,1007.0
rag2026-46,aus-agent-test-full,0.763889,0.666667,18,4,974.0
rag2026-45,aus-agent-test-full,0.606299,0.480315,29,12,1006.0
rag2026-1,aus-agent-test-v2,0.632979,0.489362,23,8,986.0
rag2026-2,aus-agent-test-v2,0.6,0.431579,22,10,979.0
rag2026-0,aus-agent-test-v2,0.591954,0.494253,21,8,915.0
rag2026-3,aus-agent-test-v2,0.496124,0.449612,30,13,987.0
rag2026-4,aus-agent-test-v2,0.697248,0.559633,26,8,892.0
rag2026-6,aus-agent-test-v2,0.238095,0.129252,33,24,985.0
rag2026-5,aus-agent-test-v2,0.744604,0.647482,32,9,994.0
rag2026-8,aus-agent-test-v2,0.379518,0.26506,19,11,1003.0
rag2026-10,aus-agent-test-v2,0.747967,0.617886,27,9,1003.0
rag2026-7,aus-agent-test-v2,0.547619,0.420635,30,13,982.0
rag2026-9,aus-agent-test-v2,0.629032,0.508065,29,11,834.0
rag2026-11,aus-agent-test-v2,0.512605,0.411765,28,12,926.0
rag2026-14,aus-agent-test-v2,0.680556,0.597222,18,5,1004.0
rag2026-12,aus-agent-test-v2,0.304688,0.1875,28,20,1005.0
rag2026-13,aus-agent-test-v2,0.654255,0.404255,23,10,979.0
rag2026-15,aus-agent-test-v2,0.810345,0.758621,21,3,981.0
rag2026-20,aus-agent-test-v2,0.772727,0.621212,15,5,916.0
rag2026-19,aus-agent-test-v2,0.297468,0.240506,20,10,1021.0
rag2026-17,aus-agent-test-v2,0.659483,0.465517,25,12,926.0
rag2026-23,aus-agent-test-v2,0.731343,0.641791,17,4,997.0
rag2026-25,aus-agent-test-v2,0.968254,0.968254,15,0,925.0
rag2026-21,aus-agent-test-v2,0.509091,0.445455,31,7,1000.0
rag2026-16,aus-agent-test-v2,0.348214,0.205357,32,13,982.0
rag2026-22,aus-agent-test-v2,0.520325,0.308943,30,15,868.0
rag2026-18,aus-agent-test-v2,0.311404,0.105263,30,16,994.0
rag2026-24,aus-agent-test-v2,0.787671,0.671233,17,4,1015.0
rag2026-26,aus-agent-test-v2,0.77,0.61,23,7,962.0
rag2026-31,aus-agent-test-v2,0.576923,0.292308,16,8,952.0
rag2026-30,aus-agent-test-v2,0.552,0.376,28,14,983.0
rag2026-27,aus-agent-test-v2,0.264706,0.193277,28,18,938.0
rag2026-28,aus-agent-test-v2,0.527778,0.361111,33,16,1015.0
rag2026-33,aus-agent-test-v2,0.666667,0.611111,24,8,988.0
rag2026-29,aus-agent-test-v2,0.613636,0.537879,30,11,832.0
rag2026-34,aus-agent-test-v2,0.769231,0.630769,19,2,927.0
