run_id,n_topics,ternary_score,binary_score
aus-agent-azure-luna,2,0.53947,0.498984
aus-agent-azure-sol,2,0.537372,0.52721
aus-agent-azure-terra,2,0.620115,0.595758
aus-agent-creative-check,10,0.645786,0.574852
aus-agent-dev-full,30,0.686479,0.624053
aus-agent-discovery-check,1,0.237903,0.153226
aus-agent-luna-cap10,1,0.491379,0.422414
aus-agent-luna-dev,5,0.557727,0.479937
aus-agent-luna-dev2,3,0.655087,0.532361
aus-agent-luna-dev3,3,0.661538,0.581452
aus-agent-luna-dev4,6,0.547818,0.445148
aus-agent-math-check,1,0.310484,0.233871
aus-agent-opus-check,1,0.435484,0.370968
aus-agent-qterm-check,1,0.334677,0.306452
aus-agent-recon-check,1,0.310484,0.217742
aus-agent-sat-go,30,0.673188,0.626016
aus-agent-terra-check,1,0.451613,0.443548
aus-agent-test-full,47,0.705354,0.636089
aus-agent-test-v2,80,0.709341,0.645581
test-ase-api-server-run,1,0.0,0.0
test-ase-api-server-run-1,1,0.653226,0.637097
