run_id,n_topics,ternary_score,binary_score
aus-agent-azure-luna,2,0.883065,0.862903
aus-agent-azure-sol,2,0.895161,0.895161
aus-agent-azure-terra,2,0.869951,0.865919
aus-agent-creative-check,10,0.896191,0.865602
aus-agent-dev-full,30,0.875943,0.848158
aus-agent-discovery-check,1,1.0,1.0
aus-agent-luna-cap10,1,0.793103,0.793103
aus-agent-luna-dev,5,0.908094,0.884601
aus-agent-luna-dev2,3,0.915064,0.875
aus-agent-luna-dev3,3,0.902233,0.881596
aus-agent-luna-dev4,6,0.903448,0.880747
aus-agent-math-check,1,0.677419,0.669355
aus-agent-opus-check,1,0.846774,0.846774
aus-agent-qterm-check,1,0.677419,0.669355
aus-agent-recon-check,1,0.564516,0.516129
aus-agent-sat-go,30,0.950299,0.940719
aus-agent-terra-check,1,0.782258,0.774194
aus-agent-test-full,47,0.91123,0.893475
aus-agent-test-v2,80,0.933463,0.918593
test-ase-api-server-run,1,0.693548,0.693548
test-ase-api-server-run-1,1,0.637097,0.637097
