qid,run_id,ternary_score,binary_score,n_criteria,n_mandatory_fail,response_length
683a58c9a7e7fe4e76958488,aus-agent-dev-full,0.614754,0.459016,17,5,1039.0
rag2026-1,aus-agent-test-full,0.489362,0.37234,23,11,1061.0
rag2026-2,aus-agent-test-full,0.447368,0.178947,22,14,1070.0
683a58c9a7e7fe4e7695848b,aus-agent-dev-full,0.489474,0.231579,22,13,1063.0
rag2026-3,aus-agent-test-full,0.457364,0.333333,30,16,1140.0
rag2026-4,aus-agent-test-full,0.743119,0.59633,26,8,1105.0
683a58c9a7e7fe4e7695846f,aus-agent-dev-full,0.307692,0.089744,18,13,1085.0
rag2026-0,aus-agent-test-full,0.591954,0.356322,21,10,1136.0
684397d188c1deceb49af31d,aus-agent-dev-full,0.737705,0.639344,14,4,997.0
684397d188c1deceb49af325,aus-agent-dev-full,0.822034,0.762712,16,2,1030.0
683a58c9a7e7fe4e76958498,aus-agent-dev-full,0.548387,0.451613,32,10,1106.0
rag2026-5,aus-agent-test-full,0.492806,0.208633,32,20,987.0
684397d188c1deceb49af32d,aus-agent-dev-full,0.710526,0.622807,27,7,1128.0
6847465956a0f6376a60535d,aus-agent-dev-full,0.416667,0.09375,21,17,1017.0
rag2026-6,aus-agent-test-full,0.248299,0.081633,33,25,1068.0
rag2026-8,aus-agent-test-full,0.63253,0.590361,19,6,1123.0
rag2026-7,aus-agent-test-full,0.539683,0.34127,30,15,1067.0
6847465956a0f6376a605360,aus-agent-dev-full,0.224409,0.165354,32,18,1114.0
6847465956a0f6376a605367,aus-agent-dev-full,0.485,0.29,23,13,1088.0
6847465956a0f6376a605387,aus-agent-dev-full,0.677083,0.510417,21,9,1126.0
rag2026-12,aus-agent-test-full,0.1875,0.070312,28,23,1075.0
rag2026-11,aus-agent-test-full,0.319328,0.184874,28,17,1103.0
rag2026-13,aus-agent-test-full,0.542553,0.361702,23,10,1121.0
rag2026-10,aus-agent-test-full,0.573171,0.325203,27,15,1115.0
6847465956a0f6376a6053a0,aus-agent-dev-full,0.446721,0.295082,28,16,1036.0
rag2026-9,aus-agent-test-full,0.540323,0.330645,29,15,1110.0
6847465956a0f6376a6053c9,aus-agent-dev-full,0.243243,0.126126,27,17,1143.0
6847465956a0f6376a605391,aus-agent-dev-full,0.361486,0.162162,32,24,1109.0
6847465956a0f6376a6053fb,aus-agent-dev-full,0.553846,0.215385,16,9,1052.0
rag2026-15,aus-agent-test-full,0.850575,0.781609,21,3,1085.0
6847465956a0f6376a6053ca,aus-agent-dev-full,0.587629,0.525773,26,6,1116.0
6847465956a0f6376a605404,aus-agent-dev-full,0.726562,0.515625,17,5,1036.0
rag2026-16,aus-agent-test-full,0.339286,0.169643,32,15,1093.0
rag2026-17,aus-agent-test-full,0.258621,0.163793,25,19,1067.0
rag2026-14,aus-agent-test-full,0.430556,0.194444,18,10,1118.0
6847465956a0f6376a60542d,aus-agent-dev-full,0.563158,0.4,25,9,1123.0
rag2026-19,aus-agent-test-full,0.329114,0.177215,20,11,1089.0
rag2026-18,aus-agent-test-full,0.548246,0.333333,30,12,1117.0
6847465956a0f6376a60542a,aus-agent-dev-full,0.469697,0.222222,27,13,1112.0
6847465956a0f6376a605440,aus-agent-dev-full,0.444444,0.314815,15,5,1034.0
6847465956a0f6376a605476,aus-agent-dev-full,0.112676,0.098592,19,10,1022.0
rag2026-20,aus-agent-test-full,0.704545,0.409091,15,7,1129.0
6847465956a0f6376a605433,aus-agent-dev-full,0.768293,0.670732,23,3,1058.0
rag2026-21,aus-agent-test-full,0.490909,0.418182,31,8,1091.0
6847465956a0f6376a60543d,aus-agent-dev-full,0.101266,0.075949,23,11,1030.0
rag2026-22,aus-agent-test-full,0.49187,0.349593,30,14,1089.0
rag2026-23,aus-agent-test-full,0.708955,0.597015,17,5,1104.0
6847465956a0f6376a60547f,aus-agent-dev-full,0.866667,0.85,15,1,1133.0
rag2026-25,aus-agent-test-full,0.81746,0.698413,15,3,940.0
rag2026-24,aus-agent-test-full,0.664384,0.424658,17,8,1032.0
6847465956a0f6376a60547e,aus-agent-dev-full,0.521739,0.336957,22,11,1124.0
rag2026-26,aus-agent-test-full,0.545,0.36,23,12,1099.0
6847465956a0f6376a605492,aus-agent-dev-full,0.386598,0.175258,23,14,1095.0
6847465956a0f6376a6054a7,aus-agent-dev-full,0.538462,0.182692,25,15,1014.0
rag2026-27,aus-agent-test-full,0.415966,0.243697,28,16,1057.0
rag2026-28,aus-agent-test-full,0.461806,0.291667,33,18,1006.0
6847465956a0f6376a6054ad,aus-agent-dev-full,0.674107,0.5625,26,9,956.0
rag2026-29,aus-agent-test-full,0.549242,0.371212,30,15,1084.0
6847465956a0f6376a605493,aus-agent-dev-full,0.353448,0.344828,34,10,1015.0
rag2026-31,aus-agent-test-full,0.723077,0.523077,16,5,969.0
6847465956a0f6376a6054be,aus-agent-dev-full,0.275591,0.015748,29,23,1058.0
rag2026-30,aus-agent-test-full,0.48,0.336,28,15,1110.0
rag2026-34,aus-agent-test-full,0.623077,0.446154,19,4,1129.0
rag2026-33,aus-agent-test-full,0.509259,0.361111,24,13,1024.0
rag2026-39,aus-agent-test-full,0.551136,0.329545,23,9,1081.0
rag2026-36,aus-agent-test-full,0.282353,0.0,23,13,1112.0
rag2026-37,aus-agent-test-full,0.556701,0.381443,23,10,1045.0
rag2026-40,aus-agent-test-full,0.692308,0.571429,23,7,1064.0
rag2026-38,aus-agent-test-full,0.477099,0.374046,28,16,1101.0
rag2026-35,aus-agent-test-full,0.339844,0.226562,28,19,1097.0
rag2026-42,aus-agent-test-full,0.474576,0.152542,16,8,1086.0
rag2026-44,aus-agent-test-full,0.491379,0.25,28,15,1134.0
rag2026-46,aus-agent-test-full,0.625,0.458333,18,7,1071.0
rag2026-41,aus-agent-test-full,0.555,0.26,23,14,996.0
rag2026-45,aus-agent-test-full,0.551181,0.409449,29,13,1111.0
rag2026-0,aus-agent-test-v2,0.591954,0.436782,21,9,1034.0
rag2026-1,aus-agent-test-v2,0.526596,0.43617,23,9,1093.0
rag2026-43,aus-agent-test-full,0.462617,0.317757,28,11,1066.0
rag2026-2,aus-agent-test-v2,0.626316,0.357895,22,11,1077.0
rag2026-32,aus-agent-test-full,0.744444,0.644444,33,8,1062.0
rag2026-5,aus-agent-test-v2,0.589928,0.402878,32,15,1101.0
rag2026-3,aus-agent-test-v2,0.403101,0.317829,30,16,1112.0
rag2026-4,aus-agent-test-v2,0.633028,0.477064,26,9,991.0
