run_id,n_topics,ternary_score,binary_score
aus-agent-azure-luna,2,0.39308,0.303927
aus-agent-azure-sol,2,0.361149,0.276029
aus-agent-azure-terra,2,0.304009,0.243116
aus-agent-creative-check,10,0.562238,0.447227
aus-agent-dev-full,30,0.537287,0.440111
aus-agent-discovery-check,1,0.25,0.193548
aus-agent-luna-cap10,1,0.461207,0.362069
aus-agent-luna-dev,5,0.464421,0.355685
aus-agent-luna-dev2,3,0.49268,0.302998
aus-agent-luna-dev3,3,0.493124,0.346361
aus-agent-luna-dev4,6,0.47383,0.349599
aus-agent-math-check,1,0.225806,0.177419
aus-agent-opus-check,1,0.342742,0.314516
aus-agent-qterm-check,1,0.310484,0.274194
aus-agent-recon-check,1,0.306452,0.241935
aus-agent-sat-go,30,0.528179,0.437993
aus-agent-terra-check,1,0.145161,0.137097
aus-agent-test-full,47,0.578306,0.47279
aus-agent-test-v2,80,0.57868,0.481913
test-ase-api-server-run,1,0.0,0.0
test-ase-api-server-run-1,1,0.262097,0.193548
