qid,run_id,ternary_score,binary_score,n_criteria,n_mandatory_fail,response_length
683a58c9a7e7fe4e76958488,aus-agent-dev-full,0.491803,0.295082,17,7,997.0
683a58c9a7e7fe4e7695846f,aus-agent-dev-full,0.403846,0.282051,18,10,1043.0
rag2026-1,aus-agent-test-full,0.489362,0.37234,23,11,1019.0
683a58c9a7e7fe4e7695848b,aus-agent-dev-full,0.463158,0.178947,22,14,1021.0
rag2026-0,aus-agent-test-full,0.609195,0.413793,21,9,1094.0
684397d188c1deceb49af31d,aus-agent-dev-full,0.737705,0.639344,14,4,955.0
rag2026-2,aus-agent-test-full,0.473684,0.178947,22,14,1028.0
rag2026-4,aus-agent-test-full,0.743119,0.59633,26,8,1063.0
684397d188c1deceb49af325,aus-agent-dev-full,0.822034,0.762712,16,2,988.0
683a58c9a7e7fe4e76958498,aus-agent-dev-full,0.576613,0.451613,32,10,1064.0
rag2026-6,aus-agent-test-full,0.231293,0.081633,33,25,1026.0
rag2026-5,aus-agent-test-full,0.446043,0.223022,32,20,945.0
rag2026-3,aus-agent-test-full,0.457364,0.372093,30,15,1098.0
684397d188c1deceb49af32d,aus-agent-dev-full,0.688596,0.622807,27,7,1086.0
rag2026-8,aus-agent-test-full,0.650602,0.566265,19,6,1081.0
6847465956a0f6376a60535d,aus-agent-dev-full,0.364583,0.09375,21,17,975.0
6847465956a0f6376a605367,aus-agent-dev-full,0.535,0.29,23,13,1046.0
rag2026-10,aus-agent-test-full,0.573171,0.325203,27,15,1073.0
rag2026-12,aus-agent-test-full,0.207031,0.070312,28,23,1033.0
6847465956a0f6376a605360,aus-agent-dev-full,0.23622,0.165354,32,18,1072.0
rag2026-11,aus-agent-test-full,0.298319,0.142857,28,18,1061.0
6847465956a0f6376a605387,aus-agent-dev-full,0.651042,0.510417,21,9,1084.0
rag2026-13,aus-agent-test-full,0.542553,0.414894,23,9,1079.0
rag2026-7,aus-agent-test-full,0.559524,0.420635,30,13,1025.0
rag2026-14,aus-agent-test-full,0.375,0.152778,18,11,1076.0
6847465956a0f6376a6053a0,aus-agent-dev-full,0.487705,0.295082,28,16,994.0
6847465956a0f6376a6053ca,aus-agent-dev-full,0.639175,0.556701,26,5,1074.0
rag2026-15,aus-agent-test-full,0.850575,0.781609,21,3,1043.0
6847465956a0f6376a605391,aus-agent-dev-full,0.347973,0.148649,32,24,1067.0
6847465956a0f6376a6053fb,aus-agent-dev-full,0.515385,0.215385,16,9,1010.0
6847465956a0f6376a605404,aus-agent-dev-full,0.632812,0.328125,17,7,994.0
rag2026-17,aus-agent-test-full,0.215517,0.163793,25,19,1025.0
