run_id,n_topics,ternary_score,binary_score
aus-agent-azure-luna,2,0.425305,0.33612
aus-agent-azure-sol,2,0.29819,0.22302
aus-agent-azure-terra,2,0.334579,0.255376
aus-agent-creative-check,10,0.575444,0.446615
aus-agent-dev-full,30,0.539542,0.435099
aus-agent-discovery-check,1,0.21371,0.137097
aus-agent-luna-cap10,1,0.474138,0.439655
aus-agent-luna-dev,5,0.452657,0.33301
aus-agent-luna-dev2,3,0.462903,0.263916
aus-agent-luna-dev3,3,0.468559,0.333519
aus-agent-luna-dev4,6,0.448586,0.338547
aus-agent-math-check,1,0.25,0.201613
aus-agent-opus-check,1,0.399194,0.330645
aus-agent-qterm-check,1,0.33871,0.290323
aus-agent-recon-check,1,0.322581,0.258065
aus-agent-sat-go,30,0.528116,0.427693
aus-agent-terra-check,1,0.233871,0.177419
aus-agent-test-full,47,0.582882,0.482893
aus-agent-test-v2,80,0.583552,0.487111
test-ase-api-server-run,1,0.0,0.0
test-ase-api-server-run-1,1,0.290323,0.233871
