qid,run_id,ternary_score,binary_score,n_criteria,n_mandatory_fail,response_length
683a58c9a7e7fe4e7695846f,aus-agent-dev-full,0.512821,0.307692,18,10,1085.0
683a58c9a7e7fe4e76958488,aus-agent-dev-full,0.754098,0.655738,17,3,1039.0
rag2026-2,aus-agent-test-full,0.431579,0.2,22,14,1070.0
683a58c9a7e7fe4e76958498,aus-agent-dev-full,0.596774,0.508065,32,9,1106.0
rag2026-0,aus-agent-test-full,0.586207,0.390805,21,9,1136.0
rag2026-1,aus-agent-test-full,0.648936,0.531915,23,8,1061.0
rag2026-3,aus-agent-test-full,0.600775,0.581395,30,10,1140.0
683a58c9a7e7fe4e7695848b,aus-agent-dev-full,0.631579,0.463158,22,9,1063.0
684397d188c1deceb49af31d,aus-agent-dev-full,0.655738,0.639344,14,4,997.0
684397d188c1deceb49af325,aus-agent-dev-full,0.779661,0.762712,16,2,1030.0
rag2026-4,aus-agent-test-full,0.866972,0.779817,26,4,1105.0
rag2026-7,aus-agent-test-full,0.674603,0.595238,30,9,1067.0
rag2026-6,aus-agent-test-full,0.204082,0.129252,33,24,1068.0
684397d188c1deceb49af32d,aus-agent-dev-full,0.679825,0.649123,27,6,1128.0
rag2026-5,aus-agent-test-full,0.561151,0.402878,32,15,987.0
rag2026-8,aus-agent-test-full,0.644578,0.614458,19,6,1123.0
6847465956a0f6376a60535d,aus-agent-dev-full,0.505208,0.322917,21,13,1017.0
6847465956a0f6376a605360,aus-agent-dev-full,0.216535,0.181102,32,18,1114.0
rag2026-9,aus-agent-test-full,0.483871,0.306452,29,16,1110.0
6847465956a0f6376a605367,aus-agent-dev-full,0.425,0.34,23,12,1088.0
rag2026-11,aus-agent-test-full,0.235294,0.184874,28,17,1103.0
6847465956a0f6376a605387,aus-agent-dev-full,0.765625,0.6875,21,6,1126.0
rag2026-10,aus-agent-test-full,0.617886,0.495935,27,12,1115.0
6847465956a0f6376a6053a0,aus-agent-dev-full,0.495902,0.47541,28,12,1036.0
rag2026-12,aus-agent-test-full,0.246094,0.1875,28,20,1075.0
rag2026-14,aus-agent-test-full,0.583333,0.430556,18,7,1118.0
6847465956a0f6376a6053c9,aus-agent-dev-full,0.220721,0.189189,27,16,1143.0
6847465956a0f6376a605391,aus-agent-dev-full,0.378378,0.243243,32,22,1109.0
rag2026-13,aus-agent-test-full,0.617021,0.382979,23,10,1121.0
6847465956a0f6376a6053fb,aus-agent-dev-full,0.661538,0.507692,16,6,1052.0
6847465956a0f6376a605404,aus-agent-dev-full,0.742188,0.703125,17,3,1036.0
6847465956a0f6376a6053ca,aus-agent-dev-full,0.613402,0.556701,26,5,1116.0
rag2026-15,aus-agent-test-full,0.936782,0.896552,21,1,1085.0
6847465956a0f6376a60542a,aus-agent-dev-full,0.535354,0.373737,27,10,1112.0
rag2026-17,aus-agent-test-full,0.271552,0.206897,25,18,1067.0
rag2026-20,aus-agent-test-full,0.795455,0.590909,15,5,1129.0
6847465956a0f6376a605433,aus-agent-dev-full,0.810976,0.756098,23,2,1058.0
rag2026-19,aus-agent-test-full,0.392405,0.303797,20,9,1089.0
6847465956a0f6376a60542d,aus-agent-dev-full,0.615789,0.505263,25,7,1123.0
rag2026-16,aus-agent-test-full,0.401786,0.339286,32,12,1093.0
rag2026-18,aus-agent-test-full,0.600877,0.438596,30,10,1117.0
6847465956a0f6376a605476,aus-agent-dev-full,0.133803,0.028169,19,11,1022.0
6847465956a0f6376a60543d,aus-agent-dev-full,0.107595,0.050633,23,11,1030.0
rag2026-23,aus-agent-test-full,0.746269,0.671642,17,4,1104.0
6847465956a0f6376a605440,aus-agent-dev-full,0.601852,0.537037,15,3,1034.0
rag2026-24,aus-agent-test-full,0.753425,0.534247,17,6,1032.0
rag2026-22,aus-agent-test-full,0.45122,0.268293,30,16,1089.0
rag2026-25,aus-agent-test-full,0.896825,0.857143,15,1,940.0
rag2026-21,aus-agent-test-full,0.527273,0.463636,31,7,1091.0
6847465956a0f6376a60547f,aus-agent-dev-full,0.825,0.766667,15,2,1133.0
6847465956a0f6376a605492,aus-agent-dev-full,0.448454,0.371134,23,11,1095.0
6847465956a0f6376a60547e,aus-agent-dev-full,0.548913,0.445652,22,9,1124.0
rag2026-26,aus-agent-test-full,0.855,0.76,23,4,1099.0
6847465956a0f6376a605493,aus-agent-dev-full,0.362069,0.344828,34,10,1015.0
6847465956a0f6376a6054ad,aus-agent-dev-full,0.839286,0.785714,26,4,956.0
6847465956a0f6376a6054a7,aus-agent-dev-full,0.668269,0.471154,25,9,1014.0
rag2026-27,aus-agent-test-full,0.453782,0.319328,28,15,1057.0
rag2026-30,aus-agent-test-full,0.508,0.36,28,14,1110.0
rag2026-29,aus-agent-test-full,0.670455,0.598485,30,9,1084.0
rag2026-28,aus-agent-test-full,0.388889,0.340278,33,17,1006.0
rag2026-31,aus-agent-test-full,0.769231,0.6,16,4,969.0
6847465956a0f6376a6054be,aus-agent-dev-full,0.46063,0.440945,29,13,1058.0
rag2026-32,aus-agent-test-full,0.8,0.755556,33,5,1062.0
rag2026-34,aus-agent-test-full,0.669231,0.615385,19,3,1129.0
rag2026-36,aus-agent-test-full,0.223529,0.047059,23,13,1112.0
rag2026-33,aus-agent-test-full,0.680556,0.611111,24,8,1024.0
rag2026-37,aus-agent-test-full,0.649485,0.536082,23,7,1045.0
rag2026-35,aus-agent-test-full,0.382812,0.226562,28,19,1097.0
rag2026-39,aus-agent-test-full,0.625,0.477273,23,6,1081.0
rag2026-38,aus-agent-test-full,0.484733,0.427481,28,15,1101.0
rag2026-42,aus-agent-test-full,0.449153,0.305085,16,7,1086.0
rag2026-40,aus-agent-test-full,0.802198,0.736264,23,4,1064.0
rag2026-41,aus-agent-test-full,0.63,0.51,23,9,996.0
rag2026-46,aus-agent-test-full,0.715278,0.569444,18,5,1071.0
rag2026-43,aus-agent-test-full,0.523364,0.514019,28,8,1066.0
rag2026-45,aus-agent-test-full,0.653543,0.574803,29,10,1111.0
rag2026-0,aus-agent-test-v2,0.689655,0.609195,21,6,1034.0
rag2026-44,aus-agent-test-full,0.590517,0.439655,28,11,1134.0
rag2026-1,aus-agent-test-v2,0.5,0.43617,23,9,1093.0
rag2026-2,aus-agent-test-v2,0.626316,0.484211,22,9,1077.0
rag2026-3,aus-agent-test-v2,0.457364,0.410853,30,14,1112.0
rag2026-4,aus-agent-test-v2,0.743119,0.559633,26,8,991.0
rag2026-8,aus-agent-test-v2,0.427711,0.361446,19,9,1105.0
rag2026-6,aus-agent-test-v2,0.261905,0.142857,33,24,1105.0
rag2026-7,aus-agent-test-v2,0.535714,0.420635,30,13,1089.0
rag2026-10,aus-agent-test-v2,0.739837,0.601626,27,9,1097.0
rag2026-5,aus-agent-test-v2,0.733813,0.618705,32,9,1101.0
rag2026-14,aus-agent-test-v2,0.645833,0.5,18,6,1099.0
rag2026-9,aus-agent-test-v2,0.53629,0.387097,29,14,930.0
rag2026-11,aus-agent-test-v2,0.407563,0.327731,28,14,1030.0
rag2026-12,aus-agent-test-v2,0.363281,0.226562,28,19,1124.0
rag2026-13,aus-agent-test-v2,0.670213,0.382979,23,10,1079.0
rag2026-15,aus-agent-test-v2,0.793103,0.724138,21,4,1081.0
rag2026-20,aus-agent-test-v2,0.833333,0.666667,15,4,1041.0
rag2026-17,aus-agent-test-v2,0.49569,0.37931,25,14,1031.0
rag2026-19,aus-agent-test-v2,0.360759,0.240506,20,10,1116.0
rag2026-18,aus-agent-test-v2,0.364035,0.149123,30,15,1096.0
rag2026-23,aus-agent-test-v2,0.634328,0.597015,17,5,1092.0
rag2026-25,aus-agent-test-v2,0.928571,0.888889,15,1,1021.0
rag2026-24,aus-agent-test-v2,0.732877,0.69863,17,4,1100.0
rag2026-22,aus-agent-test-v2,0.45122,0.308943,30,15,996.0
rag2026-21,aus-agent-test-v2,0.486364,0.445455,31,7,1090.0
rag2026-16,aus-agent-test-v2,0.299107,0.205357,32,13,1087.0
rag2026-26,aus-agent-test-v2,0.75,0.59,23,7,1075.0
rag2026-31,aus-agent-test-v2,0.515385,0.138462,16,10,1056.0
rag2026-29,aus-agent-test-v2,0.731061,0.666667,30,8,936.0
rag2026-33,aus-agent-test-v2,0.634259,0.564815,24,9,1079.0
rag2026-28,aus-agent-test-v2,0.392361,0.340278,33,17,1108.0
rag2026-30,aus-agent-test-v2,0.54,0.376,28,14,1086.0
rag2026-34,aus-agent-test-v2,0.492308,0.369231,19,5,1036.0
rag2026-27,aus-agent-test-v2,0.361345,0.277311,28,16,1042.0
rag2026-32,aus-agent-test-v2,0.637037,0.62963,33,8,1106.0
rag2026-38,aus-agent-test-v2,0.580153,0.541985,28,12,1022.0
rag2026-36,aus-agent-test-v2,0.211765,0.082353,23,12,1016.0
rag2026-39,aus-agent-test-v2,0.590909,0.431818,23,8,1090.0
rag2026-37,aus-agent-test-v2,0.639175,0.453608,23,9,995.0
rag2026-35,aus-agent-test-v2,0.476562,0.476562,28,13,1128.0
rag2026-41,aus-agent-test-v2,0.455,0.36,23,12,1027.0
rag2026-42,aus-agent-test-v2,0.516949,0.440678,16,5,1123.0
rag2026-46,aus-agent-test-v2,0.736111,0.666667,18,4,1047.0
rag2026-40,aus-agent-test-v2,0.686813,0.549451,23,7,1092.0
rag2026-43,aus-agent-test-v2,0.570093,0.514019,28,8,1091.0
rag2026-44,aus-agent-test-v2,0.491379,0.353448,28,13,1041.0
rag2026-48,aus-agent-test-v2,0.784722,0.736111,18,3,987.0
rag2026-45,aus-agent-test-v2,0.511811,0.385827,29,14,1053.0
rag2026-47,aus-agent-test-v2,0.685393,0.617978,22,6,1084.0
rag2026-51,aus-agent-test-v2,0.833333,0.733333,18,4,1032.0
rag2026-49,aus-agent-test-v2,0.544643,0.4375,29,9,1010.0
rag2026-53,aus-agent-test-v2,0.473684,0.357895,22,11,1118.0
rag2026-52,aus-agent-test-v2,0.287879,0.242424,27,11,1047.0
rag2026-50,aus-agent-test-v2,0.421053,0.298246,15,6,994.0
rag2026-57,aus-agent-test-v2,0.725,0.6,19,6,1058.0
rag2026-54,aus-agent-test-v2,0.489691,0.402062,23,10,1109.0
rag2026-58,aus-agent-test-v2,0.841584,0.821782,25,2,1029.0
rag2026-56,aus-agent-test-v2,0.723529,0.682353,20,5,1068.0
rag2026-59,aus-agent-test-v2,0.490566,0.443396,26,11,956.0
rag2026-55,aus-agent-test-v2,0.429134,0.346457,32,15,1006.0
rag2026-62,aus-agent-test-v2,0.858333,0.783333,18,1,1032.0
rag2026-60,aus-agent-test-v2,0.553763,0.462366,24,8,944.0
rag2026-61,aus-agent-test-v2,0.616279,0.453488,22,7,1112.0
rag2026-63,aus-agent-test-v2,0.625,0.583333,30,5,1044.0
rag2026-65,aus-agent-test-v2,0.635714,0.585714,17,5,976.0
rag2026-67,aus-agent-test-v2,0.75,0.666667,18,4,1130.0
rag2026-64,aus-agent-test-v2,0.538462,0.373626,20,11,1068.0
rag2026-66,aus-agent-test-v2,0.526596,0.43617,23,9,1068.0
rag2026-68,aus-agent-test-v2,0.666667,0.395062,21,9,1097.0
rag2026-69,aus-agent-test-v2,0.387218,0.360902,32,15,1239.0
rag2026-70,aus-agent-test-v2,0.765,0.74,23,4,1019.0
rag2026-73,aus-agent-test-v2,0.810078,0.751938,30,6,1115.0
