run_id,n_topics,ternary_score,binary_score
aus-agent-azure-luna,6,1.0,1.0
aus-agent-azure-sol,6,1.0,1.0
aus-agent-azure-terra,6,0.902439,0.882114
aus-agent-creative-check,30,1.0,1.0
aus-agent-dev-full,89,0.94536,0.938481
aus-agent-discovery-check,3,1.0,1.0
aus-agent-luna-cap10,2,1.0,1.0
aus-agent-luna-dev,15,1.0,1.0
aus-agent-luna-dev2,6,1.0,1.0
aus-agent-luna-dev3,6,0.897436,0.846154
aus-agent-luna-dev4,12,0.905364,0.880742
aus-agent-math-check,3,1.0,1.0
aus-agent-opus-check,3,1.0,1.0
aus-agent-qterm-check,3,0.975806,0.967742
aus-agent-recon-check,3,1.0,1.0
aus-agent-sat-go,60,0.976048,0.968417
aus-agent-terra-check,3,0.677419,0.669355
aus-agent-test-full,135,0.962273,0.95336
aus-agent-test-v2,240,0.969009,0.96077
test-ase-api-server-run,3,0.693548,0.693548
test-ase-api-server-run-1,3,1.0,1.0
