qid,run_id,ternary_score,binary_score,n_criteria,n_mandatory_fail,response_length
683a58c9a7e7fe4e7695846f,aus-agent-dev-full,0.512821,0.435897,18,8,1117.0
683a58c9a7e7fe4e76958488,aus-agent-dev-full,0.778689,0.704918,17,2,1071.0
rag2026-2,aus-agent-test-full,0.810526,0.8,22,3,1102.0
683a58c9a7e7fe4e7695848b,aus-agent-dev-full,0.821053,0.663158,22,6,1095.0
684397d188c1deceb49af31d,aus-agent-dev-full,0.983607,0.967213,14,0,1029.0
rag2026-3,aus-agent-test-full,0.523256,0.465116,30,13,1172.0
rag2026-0,aus-agent-test-full,0.770115,0.597701,21,7,1168.0
683a58c9a7e7fe4e76958498,aus-agent-dev-full,0.78629,0.725806,32,4,1138.0
rag2026-1,aus-agent-test-full,0.606383,0.446809,23,10,1093.0
rag2026-4,aus-agent-test-full,0.990826,0.981651,26,0,1137.0
684397d188c1deceb49af325,aus-agent-dev-full,0.881356,0.881356,16,1,1062.0
6847465956a0f6376a60535d,aus-agent-dev-full,1.0,1.0,21,0,1049.0
684397d188c1deceb49af32d,aus-agent-dev-full,0.745614,0.701754,27,6,1160.0
rag2026-8,aus-agent-test-full,0.704819,0.614458,19,6,1155.0
rag2026-6,aus-agent-test-full,0.717687,0.70068,33,8,1100.0
rag2026-7,aus-agent-test-full,0.869048,0.849206,30,3,1099.0
rag2026-9,aus-agent-test-full,0.576613,0.387097,29,14,1142.0
6847465956a0f6376a605367,aus-agent-dev-full,0.485,0.39,23,11,1120.0
rag2026-5,aus-agent-test-full,0.579137,0.47482,32,13,1019.0
6847465956a0f6376a605360,aus-agent-dev-full,0.255906,0.220472,32,17,1146.0
rag2026-10,aus-agent-test-full,0.768293,0.739837,27,6,1147.0
6847465956a0f6376a605387,aus-agent-dev-full,0.947917,0.947917,21,1,1158.0
rag2026-11,aus-agent-test-full,0.243697,0.201681,28,17,1135.0
6847465956a0f6376a6053a0,aus-agent-dev-full,0.495902,0.47541,28,12,1068.0
rag2026-14,aus-agent-test-full,0.854167,0.805556,18,2,1150.0
rag2026-12,aus-agent-test-full,0.246094,0.148438,28,21,1107.0
6847465956a0f6376a605391,aus-agent-dev-full,0.60473,0.47973,32,15,1141.0
rag2026-13,aus-agent-test-full,0.702128,0.62766,23,5,1153.0
6847465956a0f6376a6053c9,aus-agent-dev-full,0.351351,0.297297,27,14,1175.0
rag2026-15,aus-agent-test-full,0.95977,0.91954,21,1,1117.0
6847465956a0f6376a6053ca,aus-agent-dev-full,0.639175,0.556701,26,5,1148.0
6847465956a0f6376a6053fb,aus-agent-dev-full,0.884615,0.769231,16,3,1084.0
6847465956a0f6376a605404,aus-agent-dev-full,0.84375,0.765625,17,3,1068.0
rag2026-17,aus-agent-test-full,0.918103,0.896552,25,2,1099.0
6847465956a0f6376a60542a,aus-agent-dev-full,0.691919,0.59596,27,6,1144.0
rag2026-19,aus-agent-test-full,0.405063,0.329114,20,9,1121.0
6847465956a0f6376a60542d,aus-agent-dev-full,0.726316,0.673684,25,5,1155.0
rag2026-20,aus-agent-test-full,0.856061,0.787879,15,2,1161.0
6847465956a0f6376a605433,aus-agent-dev-full,0.737805,0.634146,23,4,1090.0
6847465956a0f6376a605440,aus-agent-dev-full,0.740741,0.740741,15,2,1066.0
rag2026-18,aus-agent-test-full,0.622807,0.421053,30,10,1149.0
6847465956a0f6376a60543d,aus-agent-dev-full,0.601266,0.556962,23,5,1062.0
rag2026-23,aus-agent-test-full,0.962687,0.925373,17,1,1136.0
6847465956a0f6376a605476,aus-agent-dev-full,0.133803,0.098592,19,10,1054.0
rag2026-21,aus-agent-test-full,0.668182,0.645455,31,5,1123.0
rag2026-25,aus-agent-test-full,0.81746,0.777778,15,2,972.0
rag2026-24,aus-agent-test-full,0.869863,0.767123,17,3,1064.0
rag2026-16,aus-agent-test-full,0.34375,0.267857,32,14,1125.0
6847465956a0f6376a60547f,aus-agent-dev-full,0.916667,0.916667,15,1,1165.0
6847465956a0f6376a60547e,aus-agent-dev-full,0.521739,0.445652,22,9,1156.0
6847465956a0f6376a605492,aus-agent-dev-full,0.886598,0.824742,23,3,1127.0
rag2026-26,aus-agent-test-full,0.89,0.88,23,2,1131.0
6847465956a0f6376a605493,aus-agent-dev-full,0.418103,0.396552,34,10,1047.0
rag2026-27,aus-agent-test-full,0.483193,0.361345,28,14,1089.0
6847465956a0f6376a6054ad,aus-agent-dev-full,0.785714,0.741071,26,5,988.0
rag2026-22,aus-agent-test-full,0.48374,0.373984,30,13,1121.0
rag2026-31,aus-agent-test-full,0.684615,0.369231,16,7,1001.0
rag2026-29,aus-agent-test-full,0.685606,0.575758,30,10,1116.0
6847465956a0f6376a6054a7,aus-agent-dev-full,0.600962,0.326923,25,12,1046.0
rag2026-28,aus-agent-test-full,0.517361,0.493056,33,13,1038.0
rag2026-33,aus-agent-test-full,0.981481,0.981481,24,0,1056.0
rag2026-32,aus-agent-test-full,0.755556,0.681481,33,7,1094.0
rag2026-30,aus-agent-test-full,0.704,0.664,28,8,1142.0
rag2026-34,aus-agent-test-full,0.707692,0.615385,19,3,1161.0
6847465956a0f6376a6054be,aus-agent-dev-full,0.814961,0.787402,29,5,1090.0
rag2026-35,aus-agent-test-full,0.710938,0.578125,28,10,1129.0
rag2026-42,aus-agent-test-full,1.0,1.0,16,0,1118.0
rag2026-36,aus-agent-test-full,0.294118,0.2,23,10,1144.0
rag2026-40,aus-agent-test-full,0.840659,0.813187,23,3,1096.0
rag2026-38,aus-agent-test-full,0.427481,0.389313,28,16,1133.0
rag2026-41,aus-agent-test-full,0.875,0.85,23,3,1028.0
rag2026-39,aus-agent-test-full,1.0,1.0,23,0,1113.0
rag2026-37,aus-agent-test-full,0.891753,0.85567,23,2,1077.0
rag2026-43,aus-agent-test-full,0.556075,0.53271,28,8,1098.0
rag2026-46,aus-agent-test-full,0.833333,0.833333,18,2,1103.0
rag2026-0,aus-agent-test-v2,1.0,1.0,21,0,1066.0
rag2026-44,aus-agent-test-full,0.836207,0.75,28,5,1166.0
rag2026-1,aus-agent-test-v2,0.648936,0.595745,23,6,1125.0
rag2026-3,aus-agent-test-v2,0.44186,0.356589,30,15,1144.0
rag2026-45,aus-agent-test-full,0.606299,0.519685,29,11,1143.0
rag2026-2,aus-agent-test-v2,0.7,0.557895,22,8,1109.0
rag2026-4,aus-agent-test-v2,0.917431,0.87156,26,2,1023.0
rag2026-7,aus-agent-test-v2,0.904762,0.904762,30,2,1121.0
rag2026-9,aus-agent-test-v2,0.818548,0.75,29,5,962.0
rag2026-10,aus-agent-test-v2,0.857724,0.837398,27,4,1129.0
rag2026-8,aus-agent-test-v2,0.46988,0.385542,19,9,1137.0
rag2026-5,aus-agent-test-v2,0.669065,0.561151,32,11,1133.0
rag2026-6,aus-agent-test-v2,0.486395,0.428571,33,16,1137.0
rag2026-11,aus-agent-test-v2,0.420168,0.310924,28,14,1062.0
rag2026-14,aus-agent-test-v2,0.965278,0.930556,18,1,1131.0
rag2026-15,aus-agent-test-v2,0.712644,0.62069,21,5,1113.0
rag2026-12,aus-agent-test-v2,0.363281,0.265625,28,18,1156.0
rag2026-13,aus-agent-test-v2,1.0,1.0,23,0,1111.0
rag2026-19,aus-agent-test-v2,0.373418,0.329114,20,9,1148.0
rag2026-20,aus-agent-test-v2,0.848485,0.69697,15,4,1073.0
rag2026-18,aus-agent-test-v2,0.311404,0.149123,30,15,1128.0
rag2026-17,aus-agent-test-v2,0.991379,0.982759,25,0,1063.0
rag2026-22,aus-agent-test-v2,0.873984,0.845528,30,3,1028.0
rag2026-25,aus-agent-test-v2,0.984127,0.968254,15,0,1053.0
rag2026-16,aus-agent-test-v2,0.294643,0.196429,32,14,1119.0
rag2026-21,aus-agent-test-v2,0.518182,0.463636,31,7,1122.0
rag2026-24,aus-agent-test-v2,0.80137,0.69863,17,4,1132.0
rag2026-26,aus-agent-test-v2,0.68,0.53,23,9,1107.0
rag2026-31,aus-agent-test-v2,1.0,1.0,16,0,1088.0
rag2026-29,aus-agent-test-v2,0.738636,0.681818,30,8,968.0
rag2026-27,aus-agent-test-v2,0.340336,0.277311,28,16,1074.0
rag2026-30,aus-agent-test-v2,0.876,0.848,28,3,1118.0
rag2026-28,aus-agent-test-v2,0.704861,0.680556,33,8,1140.0
rag2026-23,aus-agent-test-v2,0.828358,0.791045,17,2,1124.0
rag2026-33,aus-agent-test-v2,1.0,1.0,24,0,1111.0
rag2026-34,aus-agent-test-v2,0.576923,0.430769,19,5,1068.0
rag2026-32,aus-agent-test-v2,0.777778,0.777778,33,6,1138.0
rag2026-35,aus-agent-test-v2,0.648438,0.609375,28,10,1160.0
