run_id,n_topics,ternary_score,binary_score
aus-agent-azure-luna,2,0.400652,0.351987
aus-agent-azure-sol,2,0.334317,0.259146
aus-agent-azure-terra,2,0.291913,0.251344
aus-agent-creative-check,10,0.568172,0.493676
aus-agent-dev-full,30,0.564172,0.516542
aus-agent-discovery-check,1,0.233871,0.225806
aus-agent-luna-cap10,1,0.422414,0.413793
aus-agent-luna-dev,5,0.490377,0.435655
aus-agent-luna-dev2,3,0.509388,0.437634
aus-agent-luna-dev3,3,0.462055,0.380997
aus-agent-luna-dev4,6,0.554068,0.48987
aus-agent-math-check,1,0.306452,0.306452
aus-agent-opus-check,1,0.435484,0.370968
aus-agent-qterm-check,1,0.383065,0.346774
aus-agent-recon-check,1,0.306452,0.233871
aus-agent-sat-go,30,0.52215,0.462603
aus-agent-terra-check,1,0.294355,0.266129
aus-agent-test-full,47,0.614927,0.546497
aus-agent-test-v2,80,0.59799,0.53756
test-ase-api-server-run,1,0.0,0.0
test-ase-api-server-run-1,1,0.306452,0.306452
