run_id,n_topics,ternary_score,binary_score
aus-agent-azure-luna,2,1.0,1.0
aus-agent-azure-sol,2,1.0,1.0
aus-agent-azure-terra,2,0.902439,0.882114
aus-agent-creative-check,10,1.0,1.0
aus-agent-dev-full,30,0.945967,0.939165
aus-agent-discovery-check,1,1.0,1.0
aus-agent-luna-cap10,1,1.0,1.0
aus-agent-luna-dev,5,1.0,1.0
aus-agent-luna-dev2,3,1.0,1.0
aus-agent-luna-dev3,3,0.897436,0.846154
aus-agent-luna-dev4,6,0.905364,0.880742
aus-agent-math-check,1,1.0,1.0
aus-agent-opus-check,1,1.0,1.0
aus-agent-qterm-check,1,0.975806,0.967742
aus-agent-recon-check,1,1.0,1.0
aus-agent-sat-go,30,0.976048,0.968417
aus-agent-terra-check,1,0.677419,0.669355
aus-agent-test-full,47,0.962318,0.95359
aus-agent-test-v2,80,0.969009,0.96077
test-ase-api-server-run,1,0.693548,0.693548
test-ase-api-server-run-1,1,1.0,1.0
