qid,run_id,ternary_score,binary_score,n_criteria,n_mandatory_fail,response_length
683a58c9a7e7fe4e7695846f,aus-agent-dev-full,1.0,1.0,18,0,1043.0
683a58c9a7e7fe4e76958488,aus-agent-dev-full,1.0,1.0,17,0,997.0
rag2026-0,aus-agent-test-full,0.850575,0.83908,21,2,1094.0
rag2026-3,aus-agent-test-full,0.883721,0.844961,30,4,1098.0
683a58c9a7e7fe4e7695848b,aus-agent-dev-full,0.715789,0.715789,22,5,1021.0
rag2026-1,aus-agent-test-full,1.0,1.0,23,0,1019.0
rag2026-2,aus-agent-test-full,1.0,1.0,22,0,1028.0
683a58c9a7e7fe4e76958498,aus-agent-dev-full,0.596774,0.596774,32,10,1064.0
684397d188c1deceb49af31d,aus-agent-dev-full,1.0,1.0,14,0,955.0
rag2026-4,aus-agent-test-full,1.0,1.0,26,0,1063.0
684397d188c1deceb49af325,aus-agent-dev-full,1.0,1.0,16,0,988.0
6847465956a0f6376a60535d,aus-agent-dev-full,1.0,1.0,21,0,975.0
684397d188c1deceb49af32d,aus-agent-dev-full,1.0,1.0,27,0,1086.0
rag2026-8,aus-agent-test-full,0.879518,0.879518,19,2,1081.0
rag2026-6,aus-agent-test-full,0.748299,0.748299,33,7,1026.0
rag2026-5,aus-agent-test-full,0.625899,0.625899,32,10,945.0
rag2026-7,aus-agent-test-full,0.904762,0.904762,30,2,1025.0
rag2026-9,aus-agent-test-full,0.66129,0.653226,29,7,1068.0
6847465956a0f6376a605360,aus-agent-dev-full,0.251969,0.251969,32,17,1072.0
6847465956a0f6376a605367,aus-agent-dev-full,1.0,1.0,23,0,1046.0
rag2026-10,aus-agent-test-full,1.0,1.0,27,0,1073.0
6847465956a0f6376a605387,aus-agent-dev-full,1.0,1.0,21,0,1084.0
rag2026-11,aus-agent-test-full,0.773109,0.773109,28,5,1061.0
rag2026-12,aus-agent-test-full,1.0,1.0,28,0,1033.0
rag2026-13,aus-agent-test-full,1.0,1.0,23,0,1079.0
6847465956a0f6376a6053a0,aus-agent-dev-full,0.901639,0.901639,28,2,994.0
6847465956a0f6376a605391,aus-agent-dev-full,1.0,1.0,32,0,1067.0
rag2026-14,aus-agent-test-full,1.0,1.0,18,0,1076.0
6847465956a0f6376a6053c9,aus-agent-dev-full,1.0,1.0,27,0,1101.0
6847465956a0f6376a6053fb,aus-agent-dev-full,1.0,1.0,16,0,1010.0
6847465956a0f6376a605404,aus-agent-dev-full,1.0,1.0,17,0,994.0
rag2026-15,aus-agent-test-full,1.0,1.0,21,0,1043.0
6847465956a0f6376a6053ca,aus-agent-dev-full,0.634021,0.608247,26,6,1074.0
rag2026-17,aus-agent-test-full,0.741379,0.698276,25,7,1025.0
6847465956a0f6376a60542a,aus-agent-dev-full,1.0,1.0,27,0,1070.0
rag2026-19,aus-agent-test-full,1.0,1.0,20,0,1047.0
rag2026-18,aus-agent-test-full,0.877193,0.877193,30,0,1075.0
rag2026-20,aus-agent-test-full,1.0,1.0,15,0,1087.0
6847465956a0f6376a60542d,aus-agent-dev-full,1.0,1.0,25,0,1081.0
rag2026-16,aus-agent-test-full,1.0,1.0,32,0,1051.0
6847465956a0f6376a605433,aus-agent-dev-full,1.0,1.0,23,0,1016.0
6847465956a0f6376a60543d,aus-agent-dev-full,1.0,1.0,23,0,988.0
rag2026-23,aus-agent-test-full,1.0,1.0,17,0,1062.0
6847465956a0f6376a605476,aus-agent-dev-full,0.161972,0.126761,19,10,980.0
6847465956a0f6376a605440,aus-agent-dev-full,1.0,1.0,15,0,992.0
rag2026-24,aus-agent-test-full,1.0,1.0,17,0,990.0
rag2026-22,aus-agent-test-full,0.463415,0.463415,30,12,1047.0
6847465956a0f6376a60547f,aus-agent-dev-full,1.0,1.0,15,0,1091.0
6847465956a0f6376a60547e,aus-agent-dev-full,0.782609,0.782609,22,4,1082.0
6847465956a0f6376a605492,aus-agent-dev-full,0.896907,0.896907,23,2,1053.0
rag2026-26,aus-agent-test-full,1.0,1.0,23,0,1057.0
rag2026-27,aus-agent-test-full,0.764706,0.764706,28,4,1015.0
6847465956a0f6376a605493,aus-agent-dev-full,0.603448,0.603448,34,6,973.0
6847465956a0f6376a6054a7,aus-agent-dev-full,0.740385,0.740385,25,5,972.0
rag2026-29,aus-agent-test-full,1.0,1.0,30,0,1042.0
rag2026-28,aus-agent-test-full,0.763889,0.763889,33,6,964.0
rag2026-30,aus-agent-test-full,0.664,0.664,28,8,1068.0
6847465956a0f6376a6054ad,aus-agent-dev-full,1.0,1.0,26,0,914.0
rag2026-31,aus-agent-test-full,1.0,1.0,16,0,927.0
rag2026-34,aus-agent-test-full,1.0,1.0,19,0,1087.0
6847465956a0f6376a6054be,aus-agent-dev-full,1.0,1.0,29,0,1016.0
rag2026-33,aus-agent-test-full,1.0,1.0,24,0,982.0
rag2026-35,aus-agent-test-full,0.867188,0.867188,28,3,1055.0
rag2026-32,aus-agent-test-full,1.0,1.0,33,0,1020.0
rag2026-36,aus-agent-test-full,1.0,1.0,23,0,1070.0
rag2026-37,aus-agent-test-full,1.0,1.0,23,0,1003.0
rag2026-38,aus-agent-test-full,1.0,1.0,28,0,1059.0
rag2026-39,aus-agent-test-full,1.0,1.0,23,0,1039.0
rag2026-42,aus-agent-test-full,1.0,1.0,16,0,1044.0
rag2026-40,aus-agent-test-full,1.0,1.0,23,0,1022.0
rag2026-41,aus-agent-test-full,0.865,0.83,23,3,954.0
rag2026-46,aus-agent-test-full,0.819444,0.805556,18,2,1029.0
rag2026-43,aus-agent-test-full,0.598131,0.598131,28,7,1024.0
rag2026-44,aus-agent-test-full,1.0,1.0,28,0,1092.0
rag2026-0,aus-agent-test-v2,0.781609,0.781609,21,3,992.0
rag2026-1,aus-agent-test-v2,1.0,1.0,23,0,1051.0
rag2026-2,aus-agent-test-v2,1.0,1.0,22,0,1035.0
rag2026-3,aus-agent-test-v2,0.689922,0.689922,30,8,1070.0
rag2026-4,aus-agent-test-v2,1.0,1.0,26,0,949.0
rag2026-6,aus-agent-test-v2,1.0,1.0,33,0,1063.0
rag2026-5,aus-agent-test-v2,1.0,1.0,32,0,1059.0
rag2026-8,aus-agent-test-v2,1.0,1.0,19,0,1063.0
rag2026-7,aus-agent-test-v2,0.884921,0.825397,30,4,1047.0
rag2026-9,aus-agent-test-v2,1.0,1.0,29,0,888.0
rag2026-11,aus-agent-test-v2,1.0,1.0,28,0,988.0
rag2026-10,aus-agent-test-v2,0.918699,0.918699,27,2,1055.0
rag2026-12,aus-agent-test-v2,1.0,1.0,28,0,1082.0
rag2026-13,aus-agent-test-v2,1.0,1.0,23,0,1037.0
rag2026-14,aus-agent-test-v2,1.0,1.0,18,0,1057.0
rag2026-15,aus-agent-test-v2,1.0,1.0,21,0,1039.0
rag2026-17,aus-agent-test-v2,1.0,1.0,25,0,989.0
rag2026-18,aus-agent-test-v2,1.0,1.0,30,0,1054.0
rag2026-19,aus-agent-test-v2,0.734177,0.734177,20,3,1074.0
rag2026-16,aus-agent-test-v2,1.0,1.0,32,0,1045.0
rag2026-20,aus-agent-test-v2,1.0,1.0,15,0,999.0
rag2026-23,aus-agent-test-v2,1.0,1.0,17,0,1050.0
rag2026-24,aus-agent-test-v2,1.0,1.0,17,0,1058.0
rag2026-22,aus-agent-test-v2,0.46748,0.447154,30,12,954.0
