run_id,n_topics,ternary_score,binary_score
aus-agent-azure-luna,2,0.45376,0.255212
aus-agent-azure-sol,2,0.460169,0.381098
aus-agent-azure-terra,2,0.375148,0.215054
aus-agent-creative-check,10,0.539851,0.364427
aus-agent-dev-full,30,0.500979,0.346893
aus-agent-discovery-check,1,0.290323,0.193548
aus-agent-luna-cap10,1,0.448276,0.344828
aus-agent-luna-dev,5,0.465522,0.254863
aus-agent-luna-dev2,3,0.462024,0.170533
aus-agent-luna-dev3,3,0.41524,0.158333
aus-agent-luna-dev4,6,0.511837,0.28779
aus-agent-math-check,1,0.245968,0.16129
aus-agent-opus-check,1,0.383065,0.258065
aus-agent-qterm-check,1,0.330645,0.274194
aus-agent-recon-check,1,0.298387,0.241935
aus-agent-sat-go,30,0.514475,0.365359
aus-agent-terra-check,1,0.189516,0.137097
aus-agent-test-full,47,0.522361,0.348029
aus-agent-test-v2,80,0.533263,0.371979
test-ase-api-server-run,1,0.0,0.0
test-ase-api-server-run-1,1,0.282258,0.217742
