qid,run_id,ternary_score,binary_score,n_criteria,n_mandatory_fail,response_length
rag2026-0,aus-agent-test-full,0.718391,0.563218,21,6,1017.0
rag2026-0,aus-agent-test-v2,0.614943,0.471264,21,8,915.0
rag2026-1,aus-agent-test-full,0.60177,0.522124,28,8,954.0
rag2026-3,aus-agent-test-full,0.775862,0.672414,28,6,1015.0
rag2026-3,aus-agent-test-v2,0.681034,0.586207,28,8,987.0
683a58c9a7e7fe4e7695848b,aus-agent-dev-full,0.450382,0.335878,28,17,968.0
rag2026-2,aus-agent-test-v2,0.402062,0.278351,23,12,979.0
rag2026-2,aus-agent-test-full,0.654639,0.536082,23,7,972.0
683a58c9a7e7fe4e7695846f,aus-agent-creative-check,0.679348,0.641304,22,5,1012.0
683a58c9a7e7fe4e7695848b,aus-agent-creative-check,0.59542,0.473282,28,13,1006.0
683a58c9a7e7fe4e7695846f,aus-agent-sat-go,0.619565,0.554348,22,7,977.0
683a58c9a7e7fe4e76958488,aus-agent-dev-full,0.8,0.686957,29,4,940.0
rag2026-1,aus-agent-test-v2,0.486726,0.415929,28,10,986.0
683a58c9a7e7fe4e76958488,aus-agent-sat-go,0.613043,0.469565,29,9,653.0
683a58c9a7e7fe4e76958488,aus-agent-creative-check,0.695652,0.643478,29,5,951.0
683a58c9a7e7fe4e7695846f,aus-agent-dev-full,0.744565,0.663043,22,5,962.0
683a58c9a7e7fe4e7695848b,aus-agent-sat-go,0.633588,0.51145,28,12,986.0
