qid,run_id,ternary_score,binary_score,n_criteria,n_mandatory_fail,response_length
683a58c9a7e7fe4e76958488,aus-agent-dev-full,0.0,0.0,17,9,997.0
683a58c9a7e7fe4e7695846f,aus-agent-dev-full,0.0,0.0,18,14,1043.0
683a58c9a7e7fe4e7695848b,aus-agent-dev-full,0.0,0.0,22,17,1021.0
rag2026-3,aus-agent-test-full,0.0,0.0,30,23,1098.0
rag2026-1,aus-agent-test-full,0.0,0.0,23,16,1019.0
683a58c9a7e7fe4e76958498,aus-agent-dev-full,0.0,0.0,32,20,1064.0
rag2026-2,aus-agent-test-full,0.0,0.0,22,17,1028.0
684397d188c1deceb49af31d,aus-agent-dev-full,0.0,0.0,14,11,955.0
rag2026-4,aus-agent-test-full,0.0,0.0,26,19,1063.0
rag2026-0,aus-agent-test-full,0.0,0.0,21,15,1094.0
684397d188c1deceb49af325,aus-agent-dev-full,0.0,0.0,16,9,988.0
684397d188c1deceb49af32d,aus-agent-dev-full,0.0,0.0,27,20,1086.0
rag2026-5,aus-agent-test-full,0.0,0.0,32,25,945.0
rag2026-8,aus-agent-test-full,0.0,0.0,19,15,1081.0
6847465956a0f6376a60535d,aus-agent-dev-full,0.0,0.0,21,18,975.0
rag2026-6,aus-agent-test-full,0.0,0.0,33,27,1026.0
6847465956a0f6376a605360,aus-agent-dev-full,0.0,0.0,32,21,1072.0
rag2026-9,aus-agent-test-full,0.0,0.0,29,22,1068.0
rag2026-7,aus-agent-test-full,0.0,0.0,30,22,1025.0
6847465956a0f6376a605367,aus-agent-dev-full,0.0,0.0,23,18,1046.0
rag2026-10,aus-agent-test-full,0.0,0.0,27,23,1073.0
rag2026-11,aus-agent-test-full,0.0,0.0,28,21,1061.0
6847465956a0f6376a6053a0,aus-agent-dev-full,0.0,0.0,28,22,994.0
rag2026-12,aus-agent-test-full,0.0,0.0,28,24,1033.0
rag2026-14,aus-agent-test-full,0.0,0.0,18,12,1076.0
6847465956a0f6376a605391,aus-agent-dev-full,0.0,0.0,32,28,1067.0
rag2026-13,aus-agent-test-full,0.0,0.0,23,16,1079.0
6847465956a0f6376a605387,aus-agent-dev-full,0.0,0.0,21,18,1084.0
6847465956a0f6376a605404,aus-agent-dev-full,0.0,0.0,17,10,994.0
6847465956a0f6376a6053fb,aus-agent-dev-full,0.0,0.0,16,11,1010.0
6847465956a0f6376a6053ca,aus-agent-dev-full,0.0,0.0,26,15,1074.0
rag2026-15,aus-agent-test-full,0.0,0.0,21,15,1043.0
6847465956a0f6376a6053c9,aus-agent-dev-full,0.0,0.0,27,19,1101.0
rag2026-16,aus-agent-test-full,0.0,0.0,32,16,1051.0
rag2026-17,aus-agent-test-full,0.0,0.0,25,22,1025.0
rag2026-19,aus-agent-test-full,0.0,0.0,20,13,1047.0
rag2026-18,aus-agent-test-full,0.0,0.0,30,18,1075.0
6847465956a0f6376a60542d,aus-agent-dev-full,0.0,0.0,25,15,1081.0
6847465956a0f6376a60542a,aus-agent-dev-full,0.0,0.0,27,15,1070.0
6847465956a0f6376a605433,aus-agent-dev-full,0.0,0.0,23,12,1016.0
rag2026-20,aus-agent-test-full,0.0,0.0,15,12,1087.0
6847465956a0f6376a605440,aus-agent-dev-full,0.0,0.0,15,8,992.0
6847465956a0f6376a60543d,aus-agent-dev-full,0.0,0.0,23,11,988.0
rag2026-24,aus-agent-test-full,0.0,0.0,17,13,990.0
rag2026-22,aus-agent-test-full,0.0,0.0,30,21,1047.0
rag2026-23,aus-agent-test-full,0.0,0.0,17,11,1062.0
rag2026-21,aus-agent-test-full,0.0,0.0,31,16,1049.0
rag2026-25,aus-agent-test-full,0.0,0.0,15,11,898.0
6847465956a0f6376a605476,aus-agent-dev-full,0.0,0.0,19,11,980.0
6847465956a0f6376a60547f,aus-agent-dev-full,0.0,0.0,15,10,1091.0
6847465956a0f6376a605492,aus-agent-dev-full,0.0,0.0,23,17,1053.0
6847465956a0f6376a60547e,aus-agent-dev-full,0.0,0.0,22,16,1082.0
rag2026-27,aus-agent-test-full,0.0,0.0,28,21,1015.0
rag2026-26,aus-agent-test-full,0.0,0.0,23,18,1057.0
rag2026-28,aus-agent-test-full,0.0,0.0,33,26,964.0
rag2026-29,aus-agent-test-full,0.0,0.0,30,24,1042.0
6847465956a0f6376a605493,aus-agent-dev-full,0.0,0.0,34,16,973.0
6847465956a0f6376a6054a7,aus-agent-dev-full,0.0,0.0,25,18,972.0
rag2026-31,aus-agent-test-full,0.0,0.0,16,11,927.0
rag2026-30,aus-agent-test-full,0.0,0.0,28,23,1068.0
rag2026-34,aus-agent-test-full,0.0,0.0,19,9,1087.0
rag2026-32,aus-agent-test-full,0.0,0.0,33,23,1020.0
6847465956a0f6376a6054be,aus-agent-dev-full,0.0,0.0,29,23,1016.0
rag2026-37,aus-agent-test-full,0.0,0.0,23,17,1003.0
rag2026-35,aus-agent-test-full,0.0,0.0,28,24,1055.0
rag2026-33,aus-agent-test-full,0.0,0.0,24,20,982.0
rag2026-36,aus-agent-test-full,0.0,0.0,23,13,1070.0
6847465956a0f6376a6054ad,aus-agent-dev-full,0.0,0.0,26,20,914.0
rag2026-38,aus-agent-test-full,0.0,0.0,28,25,1059.0
rag2026-42,aus-agent-test-full,0.0,0.0,16,9,1044.0
rag2026-39,aus-agent-test-full,0.0,0.0,23,14,1039.0
rag2026-41,aus-agent-test-full,0.0,0.0,23,18,954.0
rag2026-43,aus-agent-test-full,0.0,0.0,28,17,1024.0
rag2026-45,aus-agent-test-full,0.0,0.0,29,23,1069.0
rag2026-40,aus-agent-test-full,0.0,0.0,23,15,1022.0
rag2026-46,aus-agent-test-full,0.0,0.0,18,12,1029.0
rag2026-44,aus-agent-test-full,0.0,0.0,28,20,1092.0
rag2026-0,aus-agent-test-v2,0.0,0.0,21,15,992.0
rag2026-2,aus-agent-test-v2,0.0,0.0,22,17,1035.0
rag2026-1,aus-agent-test-v2,0.0,0.0,23,16,1051.0
rag2026-3,aus-agent-test-v2,0.0,0.0,30,23,1070.0
rag2026-8,aus-agent-test-v2,0.0,0.0,19,15,1063.0
rag2026-4,aus-agent-test-v2,0.0,0.0,26,19,949.0
rag2026-7,aus-agent-test-v2,0.0,0.0,30,22,1047.0
rag2026-6,aus-agent-test-v2,0.0,0.0,33,27,1063.0
rag2026-9,aus-agent-test-v2,0.0,0.0,29,22,888.0
rag2026-5,aus-agent-test-v2,0.0,0.0,32,25,1059.0
rag2026-11,aus-agent-test-v2,0.0,0.0,28,21,988.0
rag2026-14,aus-agent-test-v2,0.0,0.0,18,12,1057.0
rag2026-12,aus-agent-test-v2,0.0,0.0,28,24,1082.0
rag2026-13,aus-agent-test-v2,0.0,0.0,23,16,1037.0
rag2026-10,aus-agent-test-v2,0.0,0.0,27,23,1055.0
rag2026-16,aus-agent-test-v2,0.0,0.0,32,16,1045.0
rag2026-17,aus-agent-test-v2,0.0,0.0,25,22,989.0
rag2026-20,aus-agent-test-v2,0.0,0.0,15,12,999.0
rag2026-19,aus-agent-test-v2,0.0,0.0,20,13,1074.0
rag2026-18,aus-agent-test-v2,0.0,0.0,30,18,1054.0
rag2026-23,aus-agent-test-v2,0.0,0.0,17,11,1050.0
rag2026-24,aus-agent-test-v2,0.0,0.0,17,13,1058.0
rag2026-25,aus-agent-test-v2,0.0,0.0,15,11,979.0
rag2026-22,aus-agent-test-v2,0.0,0.0,30,21,954.0
rag2026-15,aus-agent-test-v2,0.0,0.0,21,15,1039.0
rag2026-26,aus-agent-test-v2,0.0,0.0,23,18,1033.0
rag2026-31,aus-agent-test-v2,0.0,0.0,16,11,1014.0
rag2026-27,aus-agent-test-v2,0.0,0.0,28,21,1000.0
rag2026-28,aus-agent-test-v2,0.0,0.0,33,26,1066.0
rag2026-30,aus-agent-test-v2,0.0,0.0,28,23,1044.0
rag2026-32,aus-agent-test-v2,0.0,0.0,33,23,1064.0
rag2026-29,aus-agent-test-v2,0.0,0.0,30,24,894.0
rag2026-33,aus-agent-test-v2,0.0,0.0,24,20,1037.0
rag2026-34,aus-agent-test-v2,0.0,0.0,19,9,994.0
rag2026-35,aus-agent-test-v2,0.0,0.0,28,24,1086.0
rag2026-36,aus-agent-test-v2,0.0,0.0,23,13,974.0
rag2026-41,aus-agent-test-v2,0.0,0.0,23,18,985.0
rag2026-39,aus-agent-test-v2,0.0,0.0,23,14,1048.0
rag2026-42,aus-agent-test-v2,0.0,0.0,16,9,1081.0
rag2026-38,aus-agent-test-v2,0.0,0.0,28,25,980.0
rag2026-40,aus-agent-test-v2,0.0,0.0,23,15,1050.0
rag2026-37,aus-agent-test-v2,0.0,0.0,23,17,953.0
rag2026-43,aus-agent-test-v2,0.0,0.0,28,17,1049.0
rag2026-44,aus-agent-test-v2,0.0,0.0,28,20,999.0
rag2026-46,aus-agent-test-v2,0.0,0.0,18,12,1005.0
rag2026-48,aus-agent-test-v2,0.0,0.0,18,12,945.0
rag2026-45,aus-agent-test-v2,0.0,0.0,29,23,1011.0
rag2026-47,aus-agent-test-v2,0.0,0.0,22,15,1042.0
rag2026-50,aus-agent-test-v2,0.0,0.0,15,9,952.0
rag2026-49,aus-agent-test-v2,0.0,0.0,29,18,968.0
rag2026-51,aus-agent-test-v2,0.0,0.0,18,13,990.0
rag2026-21,aus-agent-test-v2,0.0,0.0,31,16,1048.0
rag2026-53,aus-agent-test-v2,0.0,0.0,22,17,1076.0
rag2026-52,aus-agent-test-v2,0.0,0.0,27,15,1005.0
rag2026-54,aus-agent-test-v2,0.0,0.0,23,17,1067.0
rag2026-55,aus-agent-test-v2,0.0,0.0,32,21,964.0
rag2026-62,aus-agent-test-v2,0.0,0.0,18,8,990.0
rag2026-58,aus-agent-test-v2,0.0,0.0,25,17,987.0
rag2026-56,aus-agent-test-v2,0.0,0.0,20,15,1026.0
rag2026-57,aus-agent-test-v2,0.0,0.0,19,14,1016.0
rag2026-59,aus-agent-test-v2,0.0,0.0,26,18,914.0
rag2026-60,aus-agent-test-v2,0.0,0.0,24,15,902.0
rag2026-63,aus-agent-test-v2,0.0,0.0,30,16,1002.0
rag2026-64,aus-agent-test-v2,0.0,0.0,20,17,1026.0
rag2026-61,aus-agent-test-v2,0.0,0.0,22,14,1070.0
rag2026-65,aus-agent-test-v2,0.0,0.0,17,12,934.0
rag2026-67,aus-agent-test-v2,0.0,0.0,18,12,1088.0
rag2026-66,aus-agent-test-v2,0.0,0.0,23,16,1026.0
rag2026-68,aus-agent-test-v2,0.0,0.0,21,13,1055.0
rag2026-70,aus-agent-test-v2,0.0,0.0,23,18,977.0
rag2026-69,aus-agent-test-v2,0.0,0.0,32,23,1197.0
683a58c9a7e7fe4e7695846f,aus-agent-creative-check,0.0,0.0,18,14,1093.0
683a58c9a7e7fe4e7695848b,aus-agent-creative-check,0.0,0.0,22,17,1059.0
683a58c9a7e7fe4e76958488,aus-agent-creative-check,0.0,0.0,17,9,1008.0
rag2026-71,aus-agent-test-v2,0.0,0.0,27,22,1073.0
rag2026-73,aus-agent-test-v2,0.0,0.0,30,23,1073.0
684397d188c1deceb49af325,aus-agent-creative-check,0.0,0.0,16,9,1000.0
684397d188c1deceb49af31d,aus-agent-creative-check,0.0,0.0,14,11,1027.0
rag2026-74,aus-agent-test-v2,0.0,0.0,18,14,1084.0
684397d188c1deceb49af32d,aus-agent-creative-check,0.0,0.0,27,20,942.0
rag2026-72,aus-agent-test-v2,0.0,0.0,32,20,1050.0
rag2026-75,aus-agent-test-v2,0.0,0.0,22,14,1032.0
6847465956a0f6376a605360,aus-agent-creative-check,0.0,0.0,32,21,972.0
rag2026-76,aus-agent-test-v2,0.0,0.0,22,17,1068.0
6847465956a0f6376a605367,aus-agent-creative-check,0.0,0.0,23,18,1031.0
6847465956a0f6376a60535d,aus-agent-creative-check,0.0,0.0,21,18,966.0
683a58c9a7e7fe4e76958498,aus-agent-creative-check,0.0,0.0,32,20,1064.0
rag2026-79,aus-agent-test-v2,0.0,0.0,23,13,893.0
rag2026-78,aus-agent-test-v2,0.0,0.0,32,27,1007.0
rag2026-77,aus-agent-test-v2,0.0,0.0,31,23,1040.0
rag2026-72,aus-agent-discovery-check,0.0,0.0,32,20,1011.0
rag2026-72,aus-agent-math-check,0.0,0.0,32,20,1051.0
rag2026-72,test-ase-api-server-run,0.0,0.0,32,20,107.0
rag2026-72,aus-agent-recon-check,0.0,0.0,32,20,1021.0
rag2026-72,aus-agent-qterm-check,0.0,0.0,32,20,993.0
rag2026-72,aus-agent-terra-check,0.0,0.0,32,20,844.0
rag2026-72,aus-agent-opus-check,0.0,0.0,32,20,1014.0
rag2026-72,test-ase-api-server-run-1,0.0,0.0,32,20,987.0
rag2026-72,aus-agent-azure-terra,0.0,0.0,32,20,687.0
rag2026-72,aus-agent-azure-luna,0.0,0.0,32,20,906.0
rag2026-72,aus-agent-azure-sol,0.0,0.0,32,20,860.0
rag2026-22,aus-agent-azure-luna,0.0,0.0,30,21,1013.0
