run_id,n_topics,ternary_score,binary_score
aus-agent-azure-luna,2,0.437434,0.255147
aus-agent-azure-sol,2,0.431829,0.291896
aus-agent-azure-terra,2,0.304091,0.174403
aus-agent-creative-check,10,0.518942,0.338347
aus-agent-dev-full,30,0.506888,0.338851
aus-agent-discovery-check,1,0.310484,0.233871
aus-agent-luna-cap10,1,0.448276,0.327586
aus-agent-luna-dev,5,0.47076,0.254991
aus-agent-luna-dev2,3,0.47592,0.214992
aus-agent-luna-dev3,3,0.425941,0.189351
aus-agent-luna-dev4,6,0.464606,0.233274
aus-agent-math-check,1,0.245968,0.16129
aus-agent-opus-check,1,0.399194,0.274194
aus-agent-qterm-check,1,0.330645,0.274194
aus-agent-recon-check,1,0.314516,0.258065
aus-agent-sat-go,30,0.510179,0.359565
aus-agent-terra-check,1,0.181452,0.096774
aus-agent-test-full,47,0.520315,0.347358
aus-agent-test-v2,80,0.527832,0.367104
test-ase-api-server-run,1,0.0,0.0
test-ase-api-server-run-1,1,0.290323,0.233871
