qid,run_id,ternary_score,binary_score,n_criteria,n_mandatory_fail,response_length
683a58c9a7e7fe4e7695846f,aus-agent-dev-full,1.0,1.0,18,0,1089.0
rag2026-0,aus-agent-test-full,1.0,1.0,21,0,1140.0
rag2026-1,aus-agent-test-full,1.0,1.0,23,0,1065.0
rag2026-3,aus-agent-test-full,1.0,1.0,30,0,1144.0
683a58c9a7e7fe4e7695848b,aus-agent-dev-full,1.0,1.0,22,0,1067.0
683a58c9a7e7fe4e76958488,aus-agent-dev-full,0.877049,0.836066,17,2,1043.0
rag2026-2,aus-agent-test-full,1.0,1.0,22,0,1074.0
684397d188c1deceb49af325,aus-agent-dev-full,1.0,1.0,16,0,1034.0
684397d188c1deceb49af31d,aus-agent-dev-full,1.0,1.0,14,0,1001.0
rag2026-4,aus-agent-test-full,0.972477,0.963303,26,0,1109.0
683a58c9a7e7fe4e76958498,aus-agent-dev-full,1.0,1.0,32,0,1110.0
684397d188c1deceb49af32d,aus-agent-dev-full,1.0,1.0,27,0,1132.0
6847465956a0f6376a60535d,aus-agent-dev-full,1.0,1.0,21,0,1021.0
rag2026-8,aus-agent-test-full,1.0,1.0,19,0,1127.0
rag2026-7,aus-agent-test-full,1.0,1.0,30,0,1071.0
rag2026-9,aus-agent-test-full,1.0,1.0,29,0,1114.0
6847465956a0f6376a605367,aus-agent-dev-full,1.0,1.0,23,0,1092.0
6847465956a0f6376a605360,aus-agent-dev-full,1.0,1.0,32,0,1118.0
rag2026-5,aus-agent-test-full,0.838129,0.784173,32,6,991.0
rag2026-6,aus-agent-test-full,0.744898,0.727891,33,8,1072.0
rag2026-10,aus-agent-test-full,1.0,1.0,27,0,1119.0
6847465956a0f6376a605387,aus-agent-dev-full,0.947917,0.947917,21,1,1130.0
rag2026-11,aus-agent-test-full,1.0,1.0,28,0,1107.0
rag2026-12,aus-agent-test-full,1.0,1.0,28,0,1079.0
6847465956a0f6376a6053c9,aus-agent-dev-full,1.0,1.0,27,0,1147.0
6847465956a0f6376a605391,aus-agent-dev-full,1.0,1.0,32,0,1113.0
rag2026-13,aus-agent-test-full,1.0,1.0,23,0,1125.0
