qid,run_id,ternary_score,binary_score,n_criteria,n_mandatory_fail,response_length
683a58c9a7e7fe4e76958488,aus-agent-dev-full,0.680328,0.540984,17,4,1043.0
683a58c9a7e7fe4e7695846f,aus-agent-dev-full,0.448718,0.307692,18,10,1089.0
rag2026-0,aus-agent-test-full,0.683908,0.505747,21,7,1140.0
rag2026-1,aus-agent-test-full,0.659574,0.553191,23,8,1065.0
rag2026-3,aus-agent-test-full,0.523256,0.503876,30,12,1144.0
683a58c9a7e7fe4e7695848b,aus-agent-dev-full,0.615789,0.305263,22,12,1067.0
683a58c9a7e7fe4e76958498,aus-agent-dev-full,0.604839,0.524194,32,9,1110.0
684397d188c1deceb49af31d,aus-agent-dev-full,0.639344,0.639344,14,4,1001.0
rag2026-2,aus-agent-test-full,0.526316,0.357895,22,11,1074.0
rag2026-4,aus-agent-test-full,0.880734,0.825688,26,3,1109.0
684397d188c1deceb49af325,aus-agent-dev-full,0.822034,0.762712,16,2,1034.0
rag2026-5,aus-agent-test-full,0.528777,0.47482,32,13,991.0
6847465956a0f6376a60535d,aus-agent-dev-full,0.546875,0.302083,21,13,1021.0
684397d188c1deceb49af32d,aus-agent-dev-full,0.622807,0.491228,27,10,1132.0
rag2026-8,aus-agent-test-full,0.63253,0.53012,19,7,1127.0
rag2026-7,aus-agent-test-full,0.686508,0.619048,30,8,1071.0
rag2026-6,aus-agent-test-full,0.204082,0.129252,33,24,1072.0
6847465956a0f6376a605360,aus-agent-dev-full,0.224409,0.19685,32,18,1118.0
6847465956a0f6376a605367,aus-agent-dev-full,0.445,0.26,23,14,1092.0
rag2026-10,aus-agent-test-full,0.54878,0.479675,27,12,1119.0
rag2026-9,aus-agent-test-full,0.584677,0.395161,29,13,1114.0
6847465956a0f6376a605387,aus-agent-dev-full,0.765625,0.6875,21,6,1130.0
rag2026-11,aus-agent-test-full,0.285714,0.243697,28,16,1107.0
6847465956a0f6376a6053a0,aus-agent-dev-full,0.495902,0.434426,28,13,1040.0
